System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.074014| -0.252826| 0.311983),(0.032720| -0.944933| -0.314338| -0.084984),(0.041233| -0.245306| 0.327728),(-0.116459| -0.350014| -0.358119| -0.857717),(0.028090| -0.238730| 0.341914),(-0.231382| -0.327686| -0.534310| -0.744041),(0.009507| -0.227733| 0.368172),(-0.340943| -0.406466| -0.474775| -0.702233),(0.004823| -0.221516| 0.387360),(0.504994| 0.516001| 0.351161| 0.596164),(0.039926| -0.206989| 0.339023),(0.120172| -0.913453| -0.375040| -0.102509),(0.023434| -0.175267| 0.374304),(0.166100| -0.862752| -0.466174| -0.103686),(0.013872| -0.167970| 0.396948),(-0.186503| 0.645810| 0.739492| 0.036018),(0.009970| -0.172148| 0.410711),(-0.187902| 0.507687| 0.840801| 0.000659),(0.054818| -0.204502| 0.342009),(0.024407| -0.909360| -0.385338| -0.154866),(0.045214| -0.170882| 0.378888),(0.049006| -0.878156| -0.448765| -0.158273),(0.037096| -0.162657| 0.404441),(-0.110855| 0.583373| 0.795997| 0.117372),(0.031987| -0.170342| 0.418575),(-0.136207| 0.354683| 0.921359| 0.082131),(0.069564| -0.207143| 0.344959),(-0.059518| -0.907360| -0.384339| -0.159498),(0.067450| -0.177228| 0.380013),(-0.035850| -0.868671| -0.464656| -0.167991),(0.062252| -0.170376| 0.405016),(-0.040202| 0.566877| 0.806230| 0.164405),(0.056843| -0.177889| 0.418841),(-0.077453| 0.356168| 0.919329| 0.148254),(0.082879| -0.214252| 0.349032),(-0.152190| -0.900615| -0.351254| -0.205795),(0.088804| -0.187394| 0.378518),(-0.193279| -0.869465| -0.411678| -0.192863),(0.089134| -0.180070| 0.397409),(0.089073| 0.603532| 0.749092| 0.258219),(0.084517| -0.183834| 0.408970),(0.029279| 0.422558| 0.864070| 0.271975)
0.040000,(0.000016| -0.000055| 0.000064),(-0.000252| -0.000439| -0.000238| 1.000000),(-0.032793| 0.007535| 0.015722),(0.266319| -0.732688| -0.360089| 0.512424),(-0.045927| 0.014121| 0.029911),(0.445798| -0.585090| -0.417658| 0.533381),(-0.064497| 0.025133| 0.056173),(0.372843| -0.506438| -0.515656| 0.581900),(-0.069178| 0.031355| 0.075360),(-0.232307| 0.349481| 0.651428| -0.632090),(-0.034093| 0.045858| 0.026998),(0.060329| -0.044685| 0.083410| 0.993683),(-0.050596| 0.077598| 0.062256),(0.158671| -0.061491| 0.135892| 0.976000),(-0.060169| 0.084906| 0.084894),(-0.480886| 0.013648| -0.206938| -0.851903),(-0.064083| 0.080742| 0.098658),(-0.618503| -0.010780| -0.232562| -0.750502),(-0.019202| 0.048339| 0.029995),(0.081278| -0.064128| -0.022503| 0.994372),(-0.028820| 0.081987| 0.066846),(0.148810| -0.075686| 0.006113| 0.985946),(-0.036954| 0.090233| 0.092384),(-0.563085| 0.070305| -0.116964| -0.815054),(-0.042078| 0.082558| 0.106517),(-0.750028| 0.060368| -0.170268| -0.636256),(-0.004460| 0.045693| 0.032958),(0.088325| -0.042369| -0.103287| 0.989816),(-0.006591| 0.075631| 0.067991),(0.174418| -0.058584| -0.075370| 0.980034),(-0.011810| 0.082499| 0.092981),(-0.585674| 0.093678| -0.036986| -0.804265),(-0.017235| 0.074990| 0.106802),(-0.754998| 0.104356| -0.093910| -0.640523),(0.008849| 0.038580| 0.037044),(0.068652| -0.058685| -0.208008| 0.973949),(0.014768| 0.065461| 0.066512),(0.138032| -0.034201| -0.236648| 0.961132),(0.015094| 0.072812| 0.085390),(-0.533940| 0.140436| 0.120920| -0.824963),(0.010469| 0.069061| 0.096952),(-0.694849| 0.183883| 0.052884| -0.693235)
0.060000,(0.000039| 0.000190| -0.000103),(-0.000666| -0.001537| -0.001226| 0.999998),(-0.032832| 0.007616| 0.015627),(0.265618| -0.733842| -0.358279| 0.512406),(-0.045976| 0.014256| 0.029782),(0.445358| -0.586532| -0.415984| 0.533474),(-0.064563| 0.025352| 0.055998),(0.372748| -0.507689| -0.514389| 0.581992),(-0.069251| 0.031608| 0.075171),(-0.232688| 0.350225| 0.650873| -0.632110),(-0.034062| 0.045961| 0.026846),(0.059942| -0.044746| 0.083648| 0.993684),(-0.050578| 0.077892| 0.061948),(0.154860| -0.061714| 0.135383| 0.976669),(-0.060196| 0.085429| 0.084492),(-0.477146| 0.014878| -0.207491| -0.853849),(-0.064184| 0.081392| 0.098269),(-0.615779| -0.009250| -0.233769| -0.752385),(-0.019175| 0.048414| 0.029884),(0.081171| -0.064384| -0.022174| 0.994371),(-0.028809| 0.082181| 0.066629),(0.147230| -0.076005| 0.006281| 0.986158),(-0.036991| 0.090591| 0.092119),(-0.560264| 0.071626| -0.118141| -0.816711),(-0.042189| 0.083038| 0.106294),(-0.747280| 0.062176| -0.172046| -0.638832),(-0.004448| 0.045735| 0.032899),(0.088521| -0.042752| -0.102965| 0.989816),(-0.006616| 0.075753| 0.067866),(0.173623| -0.059269| -0.074709| 0.980184),(-0.011896| 0.082739| 0.092827),(-0.583613| 0.095042| -0.038723| -0.805520),(-0.017382| 0.075330| 0.106680),(-0.752684| 0.106001| -0.096079| -0.642651),(0.008830| 0.038596| 0.037037),(0.069133| -0.059160| -0.207724| 0.973946),(0.014673| 0.065512| 0.066491),(0.138889| -0.036060| -0.234815| 0.961391),(0.014895| 0.072907| 0.085363),(-0.533381| 0.142221| 0.117617| -0.825497),(0.010210| 0.069193| 0.096910),(-0.694509| 0.185748| 0.048763| -0.693382)
0.080000,(0.000063| 0.000126| -0.000019),(-0.000661| -0.001814| -0.001508| 0.999997),(-0.032872| 0.007717| 0.015510),(0.264818| -0.734883| -0.356375| 0.512656),(-0.046035| 0.014414| 0.029622),(0.444935| -0.588153| -0.413826| 0.533720),(-0.064656| 0.025598| 0.055776),(0.372785| -0.509114| -0.512657| 0.582252),(-0.069364| 0.031890| 0.074932),(-0.233360| 0.351094| 0.649950| -0.632330),(-0.034028| 0.046080| 0.026683),(0.059632| -0.044545| 0.084125| 0.993672),(-0.050558| 0.078234| 0.061608),(0.149739| -0.061980| 0.134998| 0.977503),(-0.060230| 0.086038| 0.084030),(-0.473156| 0.016105| -0.208552| -0.855786),(-0.064293| 0.082123| 0.097815),(-0.613489| -0.007793| -0.235642| -0.753687),(-0.019144| 0.048503| 0.029763),(0.081162| -0.064371| -0.021601| 0.994386),(-0.028794| 0.082387| 0.066404),(0.145533| -0.076161| 0.006756| 0.986395),(-0.037025| 0.090946| 0.091838),(-0.557984| 0.072910| -0.119920| -0.817899),(-0.042295| 0.083490| 0.106038),(-0.745104| 0.064002| -0.174471| -0.640535),(-0.004434| 0.045790| 0.032827),(0.088843| -0.042861| -0.102394| 0.989841),(-0.006633| 0.075862| 0.067747),(0.173505| -0.059622| -0.073822| 0.980251),(-0.011969| 0.082936| 0.092691),(-0.581882| 0.096336| -0.040659| -0.806523),(-0.017515| 0.075617| 0.106574),(-0.750269| 0.107724| -0.098329| -0.644844),(0.008814| 0.038620| 0.037016),(0.069759| -0.059348| -0.207202| 0.974002),(0.014607| 0.065562| 0.066459),(0.139722| -0.037123| -0.233337| 0.961589),(0.014763| 0.073003| 0.085327),(-0.532364| 0.143594| 0.114924| -0.826294),(0.010034| 0.069342| 0.096874),(-0.693355| 0.187379| 0.045474| -0.694321)
0.100000,(0.000277| 0.000194| 0.000033),(-0.006278| -0.000505| -0.002491| 0.999977),(-0.032897| 0.007951| 0.015472),(0.261580| -0.740700| -0.346955| 0.512408),(-0.046018| 0.014895| 0.029505),(0.442026| -0.595338| -0.406730| 0.533626),(-0.064608| 0.026507| 0.055507),(0.371135| -0.518016| -0.505579| 0.581643),(-0.069361| 0.033072| 0.074570),(-0.233590| 0.362135| 0.644411| -0.631687),(-0.033845| 0.046471| 0.026174),(0.059459| -0.044030| 0.084642| 0.993661),(-0.050166| 0.079279| 0.060617),(0.145503| -0.059981| 0.132931| 0.978550),(-0.059712| 0.087588| 0.082879),(-0.472095| 0.015357| -0.206665| -0.856843),(-0.063782| 0.083919| 0.096726),(-0.612747| -0.007727| -0.233606| -0.754924),(-0.018952| 0.048859| 0.029246),(0.081015| -0.065275| -0.020802| 0.994356),(-0.028440| 0.083355| 0.065372),(0.141673| -0.076917| 0.006816| 0.986897),(-0.036625| 0.092354| 0.090594),(-0.558629| 0.074414| -0.121780| -0.817047),(-0.041941| 0.085023| 0.104820),(-0.748226| 0.065567| -0.177270| -0.635951),(-0.004259| 0.046109| 0.032367),(0.088903| -0.044807| -0.101846| 0.989806),(-0.006387| 0.076651| 0.066884),(0.172311| -0.062401| -0.072177| 0.980411),(-0.011785| 0.083983| 0.091658),(-0.585303| 0.099519| -0.045041| -0.803423),(-0.017412| 0.076675| 0.105495),(-0.755368| 0.110677| -0.104006| -0.637458),(0.008948| 0.038922| 0.036664),(0.069859| -0.062491| -0.206463| 0.973955),(0.014672| 0.066264| 0.065764),(0.138857| -0.044895| -0.228062| 0.962648),(0.014568| 0.073916| 0.084474),(-0.537149| 0.150802| 0.104330| -0.823313),(0.009652| 0.070228| 0.095919),(-0.700009| 0.193573| 0.032322| -0.686639)
0.120000,(0.000305| 0.000114| -0.000008),(-0.008879| -0.002986| -0.005799| 0.999939),(-0.032940| 0.008406| 0.015325),(0.254887| -0.749772| -0.332111| 0.512422),(-0.046083| 0.015770| 0.029118),(0.437378| -0.608267| -0.392542| 0.533500),(-0.064774| 0.028096| 0.054723),(0.368891| -0.532932| -0.492208| 0.581064),(-0.069679| 0.035094| 0.073596),(-0.234940| 0.379086| 0.634511| -0.631263),(-0.033474| 0.047132| 0.025332),(0.058334| -0.043198| 0.085743| 0.993670),(-0.049650| 0.080895| 0.058928),(0.137789| -0.060788| 0.134774| 0.979365),(-0.059298| 0.089899| 0.080818),(-0.468675| 0.017878| -0.211304| -0.857540),(-0.063529| 0.086550| 0.094688),(-0.611230| -0.004504| -0.239205| -0.754426),(-0.018574| 0.049408| 0.028448),(0.080259| -0.066575| -0.019172| 0.994364),(-0.027875| 0.084746| 0.063804),(0.137483| -0.078989| 0.009045| 0.987308),(-0.036120| 0.094357| 0.088711),(-0.557577| 0.078860| -0.127782| -0.816432),(-0.041610| 0.087299| 0.103001),(-0.747541| 0.070874| -0.184485| -0.634133),(-0.003934| 0.046545| 0.031709),(0.088862| -0.047653| -0.100518| 0.989813),(-0.005913| 0.077759| 0.065629),(0.170713| -0.065962| -0.069803| 0.980629),(-0.011394| 0.085556| 0.090176),(-0.586357| 0.105783| -0.051868| -0.801440),(-0.017200| 0.078450| 0.104035),(-0.756183| 0.117635| -0.112313| -0.633826),(0.009163| 0.039285| 0.036219),(0.070230| -0.066986| -0.204917| 0.973956),(0.014970| 0.067153| 0.064807),(0.137039| -0.052402| -0.224111| 0.963457),(0.014712| 0.075153| 0.083297),(-0.539414| 0.160601| 0.093334| -0.821297),(0.009588| 0.071583| 0.094671),(-0.703991| 0.203683| 0.017756| -0.680144)
0.140000,(0.000325| 0.000132| -0.000007),(-0.009268| -0.003056| -0.005974| 0.999935),(-0.032901| 0.008955| 0.015012),(0.249632| -0.757509| -0.317602| 0.512829),(-0.046062| 0.016658| 0.028613),(0.433978| -0.619471| -0.378688| 0.533399),(-0.064832| 0.029562| 0.053899),(0.367669| -0.545870| -0.479097| 0.580785),(-0.069858| 0.036910| 0.072620),(-0.237019| 0.393859| 0.624477| -0.631447),(-0.033102| 0.047847| 0.024457),(0.059374| -0.041738| 0.088036| 0.993470),(-0.049157| 0.082388| 0.057367),(0.133341| -0.060514| 0.137618| 0.979602),(-0.058883| 0.091958| 0.078957),(-0.467449| 0.019368| -0.216410| -0.856903),(-0.063243| 0.088870| 0.092847),(-0.611323| -0.002227| -0.245005| -0.752497),(-0.018196| 0.050034| 0.027608),(0.081612| -0.067084| -0.016355| 0.994269),(-0.027345| 0.086056| 0.062338),(0.135933| -0.080078| 0.012365| 0.987399),(-0.035637| 0.096165| 0.086990),(-0.558158| 0.082259| -0.134249| -0.814659),(-0.041266| 0.089328| 0.101331),(-0.748063| 0.075206| -0.191823| -0.630833),(-0.003598| 0.047081| 0.030981),(0.090844| -0.049609| -0.097959| 0.989793),(-0.005459| 0.078839| 0.064416),(0.171348| -0.068524| -0.066295| 0.980586),(-0.011008| 0.087013| 0.088778),(-0.588643| 0.110890| -0.059142| -0.798565),(-0.016959| 0.080067| 0.102656),(-0.757893| 0.123483| -0.120711| -0.629109),(0.009410| 0.039761| 0.035662),(0.072536| -0.070482| -0.202146| 0.974119),(0.015280| 0.068056| 0.063837),(0.137562| -0.058488| -0.219244| 0.964151),(0.014892| 0.076339| 0.082148),(-0.542698| 0.168787| 0.082414| -0.818656),(0.009598| 0.072861| 0.093462),(-0.708195| 0.212224| 0.003950| -0.673354)
0.160000,(0.000667| 0.001015| -0.002034),(-0.018835| -0.012165| -0.018891| 0.999570),(-0.033289| 0.010098| 0.014516),(0.226200| -0.778913| -0.281863| 0.512525),(-0.046482| 0.019080| 0.027270),(0.413721| -0.654997| -0.340319| 0.532914),(-0.065525| 0.034127| 0.051167),(0.355458| -0.586431| -0.442089| 0.578192),(-0.071065| 0.042725| 0.069237),(-0.238380| 0.440569| 0.595475| -0.628080),(-0.032049| 0.049357| 0.022362),(0.053667| -0.040949| 0.089940| 0.993657),(-0.047686| 0.085957| 0.053174),(0.118710| -0.064795| 0.146244| 0.979960),(-0.057887| 0.097234| 0.073821),(0.442511| -0.032431| 0.231229| 0.865832),(-0.062957| 0.095468| 0.087720),(-0.582680| 0.014868| -0.262673| -0.768938),(-0.017149| 0.051103| 0.025791),(0.077395| -0.071289| -0.012777| 0.994366),(-0.025822| 0.088745| 0.058843),(0.134422| -0.086947| 0.021172| 0.986875),(-0.034468| 0.100428| 0.082970),(-0.536480| 0.098873| -0.148897| -0.824769),(-0.040808| 0.095077| 0.097709),(-0.718103| 0.096762| -0.208558| -0.656863),(-0.002769| 0.047729| 0.029668),(0.089281| -0.057460| -0.094733| 0.989825),(-0.004307| 0.080872| 0.061726),(0.169514| -0.080526| -0.056866| 0.980585),(-0.010286| 0.090336| 0.085609),(-0.576706| 0.131325| -0.079552| -0.802394),(-0.016874| 0.084423| 0.099715),(-0.739739| 0.146618| -0.143907| -0.640765),(0.009800| 0.040093| 0.035006),(0.072708| -0.081760| -0.198442| 0.973986),(0.016376| 0.069717| 0.061676),(0.115376| -0.069886| -0.217508| 0.966693),(0.016200| 0.079414| 0.079191),(-0.523880| 0.190749| 0.063843| -0.827701),(0.010532| 0.076749| 0.090456),(-0.703912| 0.240665| -0.029631| -0.667615)
0.180000,(0.000230| 0.000349| -0.001360),(-0.010054| -0.007888| -0.009547| 0.999873),(-0.033440| 0.010773| 0.014022),(0.215358| -0.788712| -0.262571| 0.512456),(-0.046591| 0.020343| 0.026393),(0.404015| -0.670197| -0.321576| 0.533101),(-0.065624| 0.036365| 0.049676),(0.349081| -0.603131| -0.424965| 0.577737),(-0.071261| 0.045506| 0.067464),(-0.237886| 0.458957| 0.582717| -0.627065),(-0.031496| 0.050183| 0.021091),(0.051313| -0.040197| 0.091444| 0.993675),(-0.046966| 0.087669| 0.050902),(0.115458| -0.065224| 0.151122| 0.979580),(-0.057378| 0.099624| 0.071135),(0.433233| -0.037027| 0.239383| 0.868121),(-0.062767| 0.098413| 0.084987),(-0.571421| 0.021398| -0.272428| -0.773824),(-0.016618| 0.051718| 0.024718),(0.076053| -0.073073| -0.010250| 0.994370),(-0.025110| 0.090075| 0.056971),(0.136323| -0.089200| 0.025843| 0.986302),(-0.033934| 0.102399| 0.080845),(-0.528747| 0.105979| -0.157614| -0.827257),(-0.040621| 0.097687| 0.095685),(-0.705218| 0.106396| -0.218597| -0.666005),(-0.002369| 0.048153| 0.028896),(0.089487| -0.061147| -0.092265| 0.989818),(-0.003818| 0.081897| 0.060313),(0.171442| -0.085604| -0.051519| 0.980115),(-0.010039| 0.091916| 0.083972),(-0.571607| 0.140628| -0.091091| -0.803239),(-0.016962| 0.086492| 0.098131),(-0.731478| 0.157477| -0.157474| -0.644471),(0.009961| 0.040387| 0.034597),(0.074073| -0.087235| -0.195715| 0.973961),(0.016761| 0.070559| 0.060615),(0.109915| -0.075863| -0.214870| 0.967468),(0.016584| 0.080826| 0.077785),(-0.516816| 0.201208| 0.051612| -0.830513),(0.010705| 0.078564| 0.089014),(-0.698695| 0.253155| -0.047751| -0.667426)
0.200000,(-0.000047| 0.000901| -0.002298),(-0.014738| -0.010191| -0.013423| 0.999749),(-0.033528| 0.011817| 0.013263),(0.199192| -0.801543| -0.234948| 0.512495),(-0.046598| 0.022194| 0.025069),(0.389472| -0.690933| -0.294129| 0.533302),(-0.065575| 0.039561| 0.047449),(0.338942| -0.626133| -0.399835| 0.577242),(-0.071305| 0.049465| 0.064814),(0.235492| -0.484434| -0.563882| 0.626023),(-0.030588| 0.051394| 0.019222),(0.048477| -0.038765| 0.093709| 0.993663),(-0.045751| 0.090000| 0.047710),(0.115238| -0.064960| 0.158934| 0.978387),(-0.056398| 0.102782| 0.067451),(0.421834| -0.042211| 0.249925| 0.870524),(-0.062172| 0.102343| 0.081222),(-0.555932| 0.029195| -0.284492| -0.780482),(-0.015747| 0.052646| 0.023107),(0.074341| -0.075283| -0.006451| 0.994366),(-0.023946| 0.091925| 0.054275),(0.141480| -0.092407| 0.033628| 0.985045),(-0.033000| 0.105049| 0.077833),(-0.519364| 0.115046| -0.169753| -0.829584),(-0.040115| 0.101176| 0.092762),(-0.689816| 0.118528| -0.232575| -0.675288),(-0.001681| 0.048833| 0.027685),(0.089724| -0.066153| -0.088483| 0.989820),(-0.003001| 0.083393| 0.058179),(0.174973| -0.093467| -0.042092| 0.979223),(-0.009590| 0.094150| 0.081509),(-0.565078| 0.152948| -0.108415| -0.803455),(-0.016955| 0.089390| 0.095716),(-0.719939| 0.171251| -0.176961| -0.648881),(0.010326| 0.040920| 0.033865),(0.075675| -0.094879| -0.191429| 0.973975),(0.017238| 0.071748| 0.059098),(0.110617| -0.088637| -0.204429| 0.968564),(0.016748| 0.082601| 0.075899),(0.512025| -0.216867| -0.027769| 0.830680),(0.010518| 0.080821| 0.087047),(-0.688910| 0.268245| -0.075529| -0.669136)
