System.Single,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion
0,(1944.586509),(0.024712| 0.005325| 0.316980),(0.157120| -0.941778| -0.012752| -0.073642),(-0.007109| 0.013002| 0.323818),(0.210723| -0.425989| -0.335126| -0.844470),(-0.023817| 0.025026| 0.327782),(0.138283| -0.462286| -0.459669| -0.797837),(-0.049798| 0.047013| 0.336164),(-0.043995| 0.469342| 0.369369| 0.743263),(-0.061097| 0.063240| 0.344303),(0.130796| 0.592011| 0.277795| 0.808545),(-0.016621| 0.049724| 0.310722),(0.248063| -0.924350| -0.076903| -0.057898),(-0.042482| 0.090308| 0.322273),(0.269977| -0.887034| -0.222820| -0.018220),(-0.056175| 0.107810| 0.338005),(0.260823| -0.819862| -0.445282| 0.053159),(-0.061812| 0.113382| 0.351251),(0.265230| -0.810409| -0.598761| 0.098962),(-0.003344| 0.056522| 0.311904),(0.187858| -0.991278| -0.103053| -0.141057),(-0.023123| 0.101982| 0.321739),(0.195735| -1.000331| -0.171711| -0.130135),(-0.036264| 0.125793| 0.336009),(0.204534| -0.839984| -0.427782| -0.060680),(-0.043520| 0.133294| 0.350316),(0.206351| -0.743209| -0.557562| -0.023010),(0.010645| 0.059315| 0.315988),(0.109061| -1.009139| -0.108167| -0.173838),(-0.000746| 0.103203| 0.323960),(0.116550| -1.002497| -0.115587| -0.172687),(-0.009857| 0.128797| 0.334622),(0.153931| -0.920847| -0.374946| -0.132781),(-0.016499| 0.139487| 0.346676),(0.159648| -0.813657| -0.466791| -0.104302),(0.023856| 0.059005| 0.323502),(0.029219| -0.947176| -0.082572| -0.238546),(0.020417| 0.098339| 0.330390),(0.005615| -1.007707| -0.116373| -0.250686),(0.017113| 0.118666| 0.338594),(0.066732| -0.879690| -0.354583| -0.224572),(0.012846| 0.127970| 0.347623),(0.082821| -0.833761| -0.415884| -0.214684),undefined
0,(3889.173018),(0.001758| 0.000777| 0.002225),(0.011638| 0.007794| 0.003426| 0.957607),(-0.032117| 0.007394| 0.008061),(0.446383| -0.748591| 0.129633| 0.524269),(-0.048997| 0.019057| 0.012335),(0.572492| -0.671504| 0.068033| 0.545322),(-0.075319| 0.040414| 0.021234),(-0.481436| 0.629519| 0.029184| -0.531192),(-0.086975| 0.056247| 0.029670),(-0.416442| 0.694009| 0.224491| -0.626921),(-0.041690| 0.044311| -0.004477),(0.049043| 0.019170| 0.092228| 0.956005),(-0.067322| 0.084699| 0.008040),(0.190937| 0.080960| 0.133280| 0.921370),(-0.080926| 0.101877| 0.024307),(0.393442| 0.178901| 0.156425| 0.854420),(-0.086634| 0.107303| 0.037612),(0.530329| 0.244676| 0.176661| 0.850348),(-0.028376| 0.051049| -0.003367),(0.090947| -0.051180| 0.020770| 1.018389),(-0.047955| 0.096304| 0.007597),(0.165649| -0.025118| 0.033687| 1.027710),(-0.060927| 0.119727| 0.022738),(0.403649| 0.070470| 0.088780| 0.870808),(-0.068012| 0.126865| 0.037303),(0.528602| 0.121864| 0.117775| 0.773436),(-0.014335| 0.053735| 0.000603),(0.106099| -0.078679| -0.060447| 1.025220),(-0.025429| 0.097581| 0.009170),(0.111378| -0.077317| -0.053383| 1.020066),(-0.034199| 0.123336| 0.019952),(0.348231| -0.006759| 0.012301| 0.953104),(-0.040582| 0.134416| 0.031806),(0.427924| 0.024922| 0.040461| 0.854940),(-0.001049| 0.053303| 0.007975),(0.098122| -0.148736| -0.132444| 0.955210),(-0.004211| 0.092564| 0.015397),(0.134126| -0.149271| -0.166826| 1.011825),(-0.007213| 0.112864| 0.023874),(0.358797| -0.097798| -0.070418| 0.900672),(-0.011210| 0.122252| 0.032955),(0.411023| -0.083730| -0.045285| 0.862012),undefined
0,(5833.759527),(0.002856| 0.001060| 0.002125),(0.028052| 0.015006| 0.012762| 0.957102),(-0.032579| 0.006205| 0.009334),(0.461985| -0.745701| 0.073521| 0.525741),(-0.049499| 0.017412| 0.014592),(0.584059| -0.663262| 0.012654| 0.547237),(-0.076182| 0.037782| 0.024898),(-0.494967| 0.618601| 0.066019| -0.528274),(-0.088908| 0.052773| 0.033754),(-0.447539| 0.682122| 0.226326| -0.617814),(-0.042975| 0.043525| -0.001158),(0.046108| 0.013368| 0.086029| 0.956827),(-0.069239| 0.082543| 0.013965),(0.189649| 0.074539| 0.140385| 0.921122),(-0.083769| 0.098892| 0.030769),(0.349039| 0.154530| 0.167868| 0.876024),(-0.090586| 0.104803| 0.043418),(0.448403| 0.203273| 0.191181| 0.903594),(-0.029740| 0.050416| -0.000103),(0.086921| -0.052320| 0.009377| 1.018851),(-0.049952| 0.094592| 0.013683),(0.166366| -0.024791| 0.030203| 1.027711),(-0.063499| 0.117686| 0.029680),(0.359298| 0.055892| 0.079052| 0.891975),(-0.071025| 0.125766| 0.043628),(0.458229| 0.097258| 0.104114| 0.822236),(-0.015638| 0.053132| 0.003618),(0.100160| -0.075173| -0.073632| 1.025218),(-0.027069| 0.096451| 0.014240),(0.096522| -0.076799| -0.067619| 1.020774),(-0.035761| 0.122600| 0.025109),(0.287315| -0.019336| -0.015467| 0.972989),(-0.041867| 0.134908| 0.035949),(0.345223| 0.004750| 0.006272| 0.892782),(-0.002151| 0.052556| 0.010611),(0.091831| -0.141341| -0.148596| 0.954583),(-0.005481| 0.091464| 0.019721),(0.115870| -0.141147| -0.189473| 1.011258),(-0.008071| 0.111919| 0.028481),(0.312491| -0.096778| -0.107427| 0.914282),(-0.011412| 0.121953| 0.037172),(0.346666| -0.087310| -0.090597| 0.886035),undefined
0,(7778.346036),(0.001843| 0.001951| 0.000843),(0.022957| 0.009129| 0.009746| 0.957348),(-0.032730| 0.005103| 0.010563),(0.474310| -0.739490| 0.031467| 0.527734),(-0.049572| 0.016138| 0.016416),(0.586241| -0.658453| -0.029194| 0.550073),(-0.076489| 0.035955| 0.027403),(-0.502786| 0.612369| 0.087667| -0.524991),(-0.090292| 0.050258| 0.036135),(-0.476398| 0.677745| 0.211086| -0.606339),(-0.043899| 0.042614| 0.001732),(0.043171| 0.010221| 0.083891| 0.957193),(-0.070782| 0.080743| 0.018309),(0.172865| 0.063706| 0.142363| 0.924927),(-0.086153| 0.097314| 0.034518),(0.286566| 0.121984| 0.166576| 0.903635),(-0.094041| 0.104564| 0.045833),(0.339589| 0.147460| 0.185408| 0.961236),(-0.030775| 0.049713| 0.002809),(0.083405| -0.051327| 0.003597| 1.019232),(-0.051650| 0.092605| 0.019248),(0.178438| -0.018043| 0.031602| 1.025783),(-0.065534| 0.114378| 0.037002),(0.358060| 0.060110| 0.076723| 0.892403),(-0.072910| 0.121313| 0.051588),(0.479339| 0.112370| 0.107182| 0.807753),(-0.016648| 0.052514| 0.006378),(0.095432| -0.070317| -0.080571| 1.025492),(-0.028582| 0.095303| 0.018553),(0.082732| -0.075424| -0.074380| 1.021616),(-0.037440| 0.121632| 0.029458),(0.241245| -0.026695| -0.030563| 0.984898),(-0.043477| 0.134615| 0.039595),(0.289034| -0.006061| -0.011620| 0.912462),(-0.003023| 0.051895| 0.013096),(0.087183| -0.133305| -0.158051| 0.954655),(-0.006831| 0.090411| 0.023651),(0.105705| -0.132324| -0.198244| 1.011884),(-0.009492| 0.110864| 0.032763),(0.279406| -0.092390| -0.124870| 0.923186),(-0.012626| 0.121146| 0.041270),(0.309513| -0.084022| -0.109847| 0.897853),undefined
0,(0),(0.001819| 0.001308| 0.000368),(0.007235| -0.013782| 0.010222| 0.957535),(-0.033230| 0.004190| 0.009265),(0.491786| -0.725037| 0.025598| 0.532092),(-0.050213| 0.015130| 0.014883),(0.593632| -0.649481| -0.028724| 0.552829),(-0.077721| 0.034572| 0.025192),(0.517112| -0.604314| -0.073310| 0.522605),(-0.092642| 0.048358| 0.033063),(-0.509734| 0.673071| 0.169164| -0.597520),(-0.045067| 0.041687| 0.001298),(0.046296| 0.018444| 0.084519| 0.956869),(-0.073086| 0.079190| 0.017863),(0.154606| 0.062922| 0.146100| 0.927626),(-0.089494| 0.096154| 0.032808),(0.238567| 0.108509| 0.167017| 0.919088),(-0.098223| 0.104272| 0.042859),(0.273798| 0.126128| 0.183739| 0.985284),(-0.032094| 0.049010| 0.002660),(0.089667| -0.040008| 0.003777| 1.019208),(-0.054159| 0.090745| 0.020250),(0.191970| -0.002862| 0.040702| 1.023170),(-0.068794| 0.111021| 0.038947),(0.376541| 0.081917| 0.092077| 0.881542),(-0.076098| 0.115904| 0.054119),(0.542722| 0.158088| 0.138397| 0.753427),(-0.018068| 0.052010| 0.006455),(0.103732| -0.056949| -0.080508| 1.025520),(-0.030957| 0.094376| 0.019037),(0.075887| -0.067845| -0.075260| 1.022615),(-0.040371| 0.120939| 0.029182),(0.208953| -0.024525| -0.033320| 0.992217),(-0.046709| 0.134440| 0.038414),(0.255767| -0.004031| -0.012944| 0.922333),(-0.004504| 0.051488| 0.013304),(0.097928| -0.119153| -0.159362| 0.955267),(-0.009025| 0.089758| 0.024419),(0.103042| -0.119541| -0.203577| 1.012690),(-0.011829| 0.110390| 0.033243),(0.257840| -0.081915| -0.132568| 0.929356),(-0.014919| 0.121042| 0.041291),(0.283854| -0.074347| -0.118412| 0.906060),undefined
0,(1944.586509),(0.002656| 0.001556| -0.000632),(0.006966| -0.026404| 0.004038| 0.957318),(-0.033741| 0.003694| 0.007505),(0.498335| -0.714061| 0.036481| 0.540147),(-0.050911| 0.014649| 0.012510),(0.594236| -0.643536| -0.010441| 0.559738),(-0.078964| 0.033935| 0.021672),(0.524532| -0.597304| -0.049157| 0.526087),(-0.094611| 0.047402| 0.028708),(-0.528355| 0.664848| 0.135753| -0.599071),(-0.045756| 0.041192| -0.000190),(0.043463| 0.029090| 0.088397| 0.956387),(-0.074772| 0.078311| 0.015751),(0.138579| 0.068166| 0.152846| 0.928700),(-0.091949| 0.095479| 0.029666),(0.207718| 0.107960| 0.171002| 0.925884),(-0.101154| 0.103927| 0.038996),(0.247545| 0.129972| 0.189816| 0.990564),(-0.032912| 0.048636| 0.001673),(0.090938| -0.026885| 0.008814| 1.019494),(-0.056210| 0.089337| 0.019778),(0.206245| 0.015934| 0.059796| 1.019327),(-0.071707| 0.107592| 0.039424),(0.410084| 0.112089| 0.126516| 0.858690),(-0.078696| 0.109451| 0.054961),(0.622991| 0.214467| 0.196426| 0.658518),(-0.019048| 0.051733| 0.005959),(0.108795| -0.042264| -0.075027| 1.026121),(-0.032827| 0.093839| 0.018388),(0.068813| -0.058221| -0.071144| 1.024002),(-0.042823| 0.120590| 0.027634),(0.183514| -0.019660| -0.027859| 0.997512),(-0.049559| 0.134440| 0.036025),(0.231700| 0.001028| -0.004341| 0.928759),(-0.005699| 0.051249| 0.013226),(0.106957| -0.104100| -0.155136| 0.956752),(-0.010925| 0.089359| 0.024552),(0.103583| -0.105673| -0.201398| 1.014610),(-0.014015| 0.110154| 0.033026),(0.241543| -0.071366| -0.128918| 0.935100),(-0.017230| 0.121124| 0.040583),(0.262425| -0.065026| -0.115627| 0.913565),undefined
0,(3889.173018),(0.001875| 0.001041| -0.003907),(0.000370| -0.005879| -0.006927| 0.957672),(-0.033114| 0.004101| 0.007053),(0.494274| -0.720321| 0.045347| 0.534866),(-0.050298| 0.015151| 0.011813),(0.589229| -0.652064| -0.002032| 0.555237),(-0.078429| 0.034507| 0.020646),(0.523298| -0.602451| -0.041889| 0.522061),(-0.094082| 0.047928| 0.027733),(0.528016| -0.665339| -0.140321| 0.597771),(-0.044900| 0.041689| -0.000595),(0.045633| 0.024120| 0.095958| 0.955694),(-0.074134| 0.078591| 0.015343),(0.147664| 0.066825| 0.161300| 0.925964),(-0.091375| 0.095574| 0.029465),(0.213931| 0.105583| 0.176057| 0.923794),(-0.100485| 0.103802| 0.039083),(0.277960| 0.141705| 0.198478| 0.979123),(-0.032091| 0.049112| 0.001590),(0.094242| -0.032141| 0.017371| 1.018932),(-0.055841| 0.089566| 0.019604),(0.211577| 0.010166| 0.073612| 1.017402),(-0.071818| 0.107426| 0.039191),(0.415659| 0.107021| 0.142493| 0.854141),(-0.078966| 0.108818| 0.054560),(-0.634922| -0.213929| -0.216441| -0.640786),(-0.018321| 0.052182| 0.006197),(0.113408| -0.047316| -0.066181| 1.026010),(-0.032443| 0.094218| 0.018506),(0.069215| -0.065193| -0.060359| 1.024247),(-0.042785| 0.120955| 0.027503),(0.183542| -0.027005| -0.015254| 0.997607),(-0.049819| 0.134687| 0.035852),(0.242349| -0.002462| 0.012806| 0.925956),(-0.005125| 0.051632| 0.013736),(0.112201| -0.108477| -0.147074| 0.956938),(-0.010636| 0.089693| 0.025138),(0.105953| -0.111821| -0.190568| 1.015798),(-0.013973| 0.110551| 0.033470),(0.237824| -0.079106| -0.117506| 0.936933),(-0.017402| 0.121563| 0.040893),(0.264792| -0.071586| -0.101002| 0.914125),undefined
0,(5833.759527),(0.004160| -0.001738| -0.005569),(-0.008337| -0.012241| -0.016582| 0.957458),(-0.032712| 0.005315| 0.005402),(0.474590| -0.735593| 0.071035| 0.529085),(-0.049684| 0.016869| 0.009722),(0.572481| -0.670402| 0.020262| 0.550532),(-0.077363| 0.037085| 0.018019),(0.508808| -0.617443| -0.028331| 0.519777),(-0.092345| 0.051072| 0.025281),(0.507766| -0.674808| -0.153861| 0.601359),(-0.043313| 0.043164| -0.002885),(0.048878| 0.020422| 0.102549| 0.954935),(-0.071616| 0.080561| 0.012975),(0.177806| 0.077522| 0.161333| 0.919807),(-0.087676| 0.097166| 0.028632),(0.273241| 0.131218| 0.175826| 0.904716),(-0.095633| 0.104422| 0.039831),(0.375395| 0.187456| 0.198436| 0.938071),(-0.030396| 0.050255| -0.000299),(0.098448| -0.038390| 0.026428| 1.018123),(-0.053420| 0.091842| 0.016148),(0.199527| -0.003515| 0.073252| 1.019905),(-0.069122| 0.111393| 0.034257),(0.398279| 0.085924| 0.139280| 0.865263),(-0.077025| 0.115038| 0.049231),(-0.577388| -0.167737| -0.198689| -0.710883),(-0.016731| 0.053083| 0.004752),(0.119623| -0.055144| -0.056306| 1.025502),(-0.030582| 0.095260| 0.016923),(0.091342| -0.067636| -0.042875| 1.023235),(-0.041145| 0.121379| 0.026920),(0.233901| -0.021677| 0.011929| 0.987191),(-0.048469| 0.134037| 0.036523),(0.309539| 0.008573| 0.045768| 0.904608),(-0.003800| 0.052285| 0.012715),(0.118600| -0.116961| -0.136909| 0.956675),(-0.009230| 0.090443| 0.023842),(0.121100| -0.121939| -0.165720| 1.017298),(-0.013083| 0.111137| 0.032217),(0.258226| -0.088641| -0.085767| 0.934118),(-0.017088| 0.121772| 0.039851),(0.301541| -0.077892| -0.059941| 0.905803),undefined
0,(7778.346036),(0.004991| -0.002364| -0.002781),(-0.011576| -0.004380| -0.010364| 0.957580),(-0.033052| 0.006136| 0.005017),(0.453651| -0.748701| 0.093559| 0.525552),(-0.049551| 0.018382| 0.009262),(0.556128| -0.684290| 0.028631| 0.549835),(-0.076156| 0.039874| 0.017741),(0.491046| -0.629163| -0.034123| 0.522450),(-0.089758| 0.054730| 0.025695),(0.478054| -0.679918| -0.193617| 0.608430),(-0.042274| 0.044100| -0.004469),(0.047562| 0.016364| 0.098320| 0.955525),(-0.069096| 0.082991| 0.010190),(0.183962| 0.077799| 0.140572| 0.921977),(-0.083832| 0.100622| 0.025819),(0.296169| 0.136016| 0.153817| 0.900793),(-0.090987| 0.108222| 0.037257),(0.400993| 0.189353| 0.172597| 0.932189),(-0.029197| 0.050843| -0.001744),(0.096616| -0.045936| 0.024111| 1.018043),(-0.050771| 0.093879| 0.012957),(0.189730| -0.013722| 0.057621| 1.022686),(-0.065492| 0.114679| 0.030152),(0.405818| 0.076782| 0.128241| 0.864325),(-0.073288| 0.119176| 0.045006),(0.570497| 0.147170| 0.182104| 0.725299),(-0.015552| 0.053386| 0.003506),(0.118519| -0.065317| -0.057898| 1.024944),(-0.028501| 0.096025| 0.015020),(0.108599| -0.071354| -0.039750| 1.021421),(-0.038778| 0.121624| 0.025913),(0.287519| -0.015539| 0.024628| 0.972807),(-0.046059| 0.133151| 0.036788),(0.377213| 0.019522| 0.062255| 0.877356),(-0.002806| 0.052390| 0.011741),(0.117039| -0.128677| -0.136660| 0.955399),(-0.007574| 0.090849| 0.022052),(0.130453| -0.133859| -0.155725| 1.016222),(-0.011540| 0.111364| 0.030463),(0.287558| -0.096196| -0.067304| 0.926281),(-0.015898| 0.121482| 0.038514),(0.346455| -0.081867| -0.033536| 0.890622),undefined
0,(0),(0.004815| -0.003814| -0.000222),(-0.024597| -0.007222| -0.017091| 0.957219),(-0.032669| 0.007536| 0.003976),(0.428415| -0.757971| 0.137194| 0.523858),(-0.048825| 0.020216| 0.008224),(0.545374| -0.690766| 0.056490| 0.550353),(-0.074340| 0.042690| 0.017137),(0.474518| -0.636018| -0.030141| 0.529618),(-0.086183| 0.058322| 0.025955),(-0.443272| 0.681552| 0.226215| -0.621548),(-0.040603| 0.045293| -0.007327),(0.050121| 0.019613| 0.100092| 0.955149),(-0.065992| 0.085816| 0.005279),(0.189575| 0.080295| 0.130148| 0.922156),(-0.079811| 0.104494| 0.020305),(0.322222| 0.140146| 0.151345| 0.891589),(-0.086629| 0.112333| 0.031749),(0.429116| 0.188042| 0.173884| 0.919609),(-0.027368| 0.051753| -0.004655),(0.098292| -0.047769| 0.029833| 1.017647),(-0.047507| 0.096075| 0.008098),(0.198468| -0.013835| 0.056507| 1.021088),(-0.061402| 0.117341| 0.024935),(0.440997| 0.079162| 0.137190| 0.845294),(-0.068884| 0.121177| 0.040030),(0.621129| 0.151154| 0.197322| 0.677319),(-0.013714| 0.054072| 0.000676),(0.120703| -0.071783| -0.050795| 1.024634),(-0.025483| 0.097334| 0.011025),(0.135337| -0.069165| -0.032633| 1.018627),(-0.035145| 0.122744| 0.022441),(0.336369| -0.010944| 0.037688| 0.956653),(-0.042188| 0.133711| 0.033982),(0.426346| 0.022801| 0.074873| 0.853465),(-0.001119| 0.053037| 0.009128),(0.117929| -0.138775| -0.126611| 0.955260),(-0.005007| 0.091870| 0.018237),(0.153130| -0.141129| -0.140443| 1.014299),(-0.008823| 0.112239| 0.026764),(0.326944| -0.100974| -0.046795| 0.913887),(-0.013256| 0.122017| 0.035149),(0.387637| -0.086176| -0.012892| 0.873619),undefined
