System.Single,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion,(NaN),UnityEngine.Quaternion
0,(1946.452010),(0.047717| -0.117744| 0.270757),(0.120116| -0.844534| -0.336667| -0.256375),(0.013028| -0.113883| 0.271521),(-0.076325| -0.156195| -0.443171| -0.933481),(-0.007132| -0.107027| 0.272683),(0.020962| -0.073799| -0.555198| -0.771828),(-0.038792| -0.095432| 0.281373),(-0.173299| -0.212916| -0.541916| -0.769101),(-0.051904| -0.089265| 0.296275),(-0.477853| -0.421535| -0.461981| -0.682468),(0.003329| -0.077195| 0.285208),(0.219083| -0.834953| -0.388405| -0.278586),(-0.026582| -0.047581| 0.313100),(0.214804| -0.854456| -0.412383| -0.276811),(-0.043703| -0.037191| 0.331396),(0.298903| -0.706350| -0.680766| -0.201949),(-0.053334| -0.039267| 0.343435),(-0.328390| 0.576356| 0.792965| 0.145723),(0.015283| -0.074392| 0.293910),(0.129599| -0.846366| -0.431361| -0.331887),(-0.010586| -0.046557| 0.327734),(0.142219| -0.814460| -0.515514| -0.312922),(-0.028833| -0.041267| 0.351035),(-0.255173| 0.548307| 0.800020| 0.232479),(-0.038764| -0.050309| 0.362090),(-0.291961| 0.252052| 0.864150| 0.130699),(0.027480| -0.076744| 0.302119),(0.043933| -0.809447| -0.428457| -0.317035),(0.010621| -0.049590| 0.335733),(0.036949| -0.785344| -0.448740| -0.302797),(-0.002864| -0.038737| 0.359533),(0.128703| -0.665235| -0.695046| -0.297328),(-0.013173| -0.040357| 0.373586),(-0.181431| 0.525947| 0.807253| 0.268454),(0.038292| -0.083595| 0.310421),(-0.055741| -0.838182| -0.437623| -0.373476),(0.030224| -0.059278| 0.341612),(-0.093699| -0.788552| -0.442941| -0.331898),(0.023907| -0.049999| 0.360943),(0.004377| -0.679257| -0.697403| -0.371224),(0.016648| -0.049841| 0.372619),(-0.047835| 0.531785| 0.710746| 0.335161),undefined
0,(3892.904020),(0.000274| -0.000432| -0.000308),(0.001535| -0.000091| 0.000062| 0.952228),(-0.034690| 0.003859| 0.000758),(0.476277| -0.701935| -0.300291| 0.536919),(-0.054858| 0.010677| 0.002005),(0.558826| -0.600464| -0.116903| 0.472586),(-0.086527| 0.022184| 0.010811),(0.549672| -0.493202| -0.308263| 0.565810),(-0.099652| 0.028272| 0.025748),(0.476206| -0.262528| -0.593897| 0.660923),(-0.044389| 0.040510| 0.014567),(0.025418| -0.051042| 0.094901| 0.980487),(-0.074320| 0.069947| 0.042623),(0.043357| -0.038808| 0.097159| 1.005034),(-0.091446| 0.080187| 0.061034),(0.299631| -0.009092| 0.287508| 0.959155),(-0.101069| 0.078083| 0.073083),(-0.428767| -0.008937| -0.379213| -0.873117),(-0.032439| 0.043286| 0.023283),(0.090316| -0.057893| 0.006808| 1.008861),(-0.058356| 0.070853| 0.057267),(0.174093| -0.043114| 0.053703| 1.006080),(-0.076614| 0.075750| 0.080612),(-0.481396| 0.048298| -0.293568| -0.859986),(-0.086411| 0.066396| 0.091457),(-0.623121| 0.043072| -0.419566| -0.588590),(-0.020241| 0.040910| 0.031485),(0.121991| -0.024519| -0.059929| 0.960284),(-0.037103| 0.067929| 0.065206),(0.149345| -0.012979| -0.052486| 0.941253),(-0.050561| 0.078746| 0.089078),(0.382118| -0.042053| 0.109940| 0.933128),(-0.060844| 0.077207| 0.103169),(-0.511833| 0.058677| -0.213462| -0.849872),(-0.009431| 0.034032| 0.039767),(0.153939| -0.030087| -0.169454| 0.991635),(-0.017440| 0.058289| 0.071021),(0.179601| 0.008614| -0.182441| 0.933452),(-0.023651| 0.067603| 0.090384),(0.421360| -0.058411| -0.028668| 0.950690),(-0.030838| 0.067852| 0.102111),(-0.467389| 0.079568| -0.043105| -0.822154),undefined
0,(5839.356031),(0.000427| -0.000518| -0.000285),(0.000888| -0.000116| 0.000313| 0.952229),(-0.034677| 0.003827| 0.000782),(0.476818| -0.701058| -0.301491| 0.536914),(-0.054859| 0.010583| 0.002142),(0.560304| -0.598102| -0.119434| 0.473198),(-0.086549| 0.021967| 0.011089),(0.550934| -0.491063| -0.309150| 0.565958),(-0.099707| 0.027974| 0.026051),(0.477675| -0.261358| -0.592851| 0.661265),(-0.044400| 0.040448| 0.014663),(0.025439| -0.051203| 0.094812| 0.980487),(-0.074319| 0.069843| 0.042774),(0.042995| -0.038276| 0.095945| 1.005187),(-0.091406| 0.080100| 0.061215),(0.299094| -0.008973| 0.285997| 0.959775),(-0.101018| 0.078010| 0.073274),(-0.428404| -0.008843| -0.377800| -0.873907),(-0.032453| 0.043223| 0.023389),(0.090362| -0.057847| 0.006722| 1.008859),(-0.058507| 0.070387| 0.057538),(0.181284| -0.042822| 0.058920| 1.004529),(-0.076822| 0.074568| 0.080896),(-0.491483| 0.048325| -0.301461| -0.851506),(-0.086343| 0.064636| 0.091315),(-0.638116| 0.042997| -0.432484| -0.562607),(-0.020254| 0.040836| 0.031584),(0.122032| -0.024327| -0.059945| 0.960283),(-0.037150| 0.067710| 0.065398),(0.151290| -0.012290| -0.051798| 0.940990),(-0.050589| 0.078514| 0.089352),(0.378881| -0.041000| 0.106469| 0.934895),(-0.060827| 0.077146| 0.103504),(-0.506633| 0.057608| -0.208083| -0.854382),(-0.009446| 0.033946| 0.039858),(0.154010| -0.029668| -0.169473| 0.991633),(-0.017387| 0.058196| 0.071132),(0.177389| 0.010414| -0.184836| 0.933385),(-0.023445| 0.067637| 0.090512),(0.416028| -0.055789| -0.034305| 0.953006),(-0.030507| 0.068094| 0.102317),(-0.459732| 0.076343| -0.035087| -0.827143),undefined
0,(7785.808041),(0.000429| -0.000271| -0.000651),(0.004649| -0.001522| -0.001896| 0.952214),(-0.034649| 0.003979| 0.000706),(0.474996| -0.699983| -0.306803| 0.536922),(-0.054858| 0.010621| 0.002210),(0.561661| -0.595152| -0.124392| 0.474031),(-0.086615| 0.021731| 0.011335),(0.553039| -0.486858| -0.310645| 0.566718),(-0.099879| 0.027481| 0.026334),(0.481816| -0.256045| -0.589641| 0.663207),(-0.044282| 0.040498| 0.014904),(0.024920| -0.052225| 0.094392| 0.980487),(-0.074250| 0.069545| 0.043319),(0.047581| -0.038971| 0.099818| 1.004576),(-0.091420| 0.079366| 0.061926),(0.302905| -0.012449| 0.290714| 0.957120),(-0.101036| 0.076969| 0.073918),(-0.433709| -0.004264| -0.384260| -0.868493),(-0.032354| 0.043128| 0.023696),(0.090099| -0.058267| 0.006448| 1.008861),(-0.058395| 0.070046| 0.058041),(0.181399| -0.043705| 0.059007| 1.004465),(-0.076776| 0.074231| 0.081464),(-0.485453| 0.052888| -0.297945| -0.855921),(-0.086442| 0.064459| 0.091893),(-0.633373| 0.049752| -0.430575| -0.568839),(-0.020191| 0.040616| 0.031910),(0.122116| -0.024226| -0.059788| 0.960285),(-0.037131| 0.067160| 0.065961),(0.153117| -0.012589| -0.050168| 0.940779),(-0.050629| 0.077783| 0.090017),(0.376124| -0.043186| 0.105548| 0.936014),(-0.060903| 0.076412| 0.104144),(-0.504156| 0.061394| -0.207839| -0.855642),(-0.009431| 0.033607| 0.040147),(0.154424| -0.028627| -0.169260| 0.991636),(-0.017476| 0.057548| 0.071637),(0.179429| 0.009689| -0.181674| 0.933624),(-0.023652| 0.066844| 0.091091),(0.412580| -0.057195| -0.034049| 0.954429),(-0.030739| 0.067312| 0.102884),(-0.455850| 0.078253| -0.034935| -0.829116),undefined
0,(0),(0.000520| -0.000061| -0.000708),(0.004999| -0.000025| -0.000498| 0.952215),(-0.034627| 0.004079| 0.000685),(0.474282| -0.697223| -0.314119| 0.536914),(-0.054868| 0.010567| 0.002415),(0.564045| -0.590498| -0.132063| 0.474945),(-0.086677| 0.021336| 0.011845),(0.555218| -0.481014| -0.314715| 0.567333),(-0.100005| 0.026799| 0.026928),(0.484544| -0.249450| -0.588519| 0.664727),(-0.044228| 0.040458| 0.015261),(0.024866| -0.053244| 0.093833| 0.980487),(-0.074260| 0.069020| 0.044093),(0.052986| -0.039980| 0.104167| 1.003825),(-0.091508| 0.078297| 0.062918),(0.308089| -0.015532| 0.295252| 0.954027),(-0.101090| 0.075538| 0.074861),(-0.439849| -0.000345| -0.389625| -0.863007),(-0.032294| 0.042963| 0.024078),(0.090044| -0.058432| 0.005834| 1.008860),(-0.058158| 0.069803| 0.058650),(0.176229| -0.043246| 0.053291| 1.005724),(-0.076443| 0.074556| 0.082263),(-0.470257| 0.055371| -0.283188| -0.869156),(-0.086448| 0.065516| 0.093180),(-0.614093| 0.054609| -0.411120| -0.602907),(-0.020137| 0.040364| 0.032274),(0.122101| -0.023731| -0.060038| 0.960283),(-0.037071| 0.066491| 0.066650),(0.155158| -0.011893| -0.049390| 0.940494),(-0.050567| 0.076807| 0.090877),(0.376187| -0.044182| 0.104398| 0.936071),(-0.060827| 0.075299| 0.105004),(-0.504621| 0.063792| -0.206751| -0.855456),(-0.009380| 0.033261| 0.040435),(0.154411| -0.027014| -0.169550| 0.991633),(-0.017479| 0.056824| 0.072201),(0.181612| 0.010294| -0.179445| 0.933626),(-0.023722| 0.065892| 0.091778),(0.410976| -0.057158| -0.034960| 0.955091),(-0.030811| 0.066269| 0.103575),(-0.455518| 0.079329| -0.034809| -0.829202),undefined
0,(1946.452010),(0.000822| 0.000181| -0.000948),(0.003965| 0.003298| 0.003676| 0.952208),(-0.034631| 0.003891| 0.000884),(0.477403| -0.690942| -0.323187| 0.536885),(-0.054923| 0.010125| 0.002928),(0.569202| -0.582540| -0.142383| 0.475637),(-0.086808| 0.020434| 0.012747),(0.558475| -0.473866| -0.320536| 0.566892),(-0.100221| 0.025626| 0.027902),(0.485955| -0.244872| -0.588892| 0.665070),(-0.044405| 0.040074| 0.015831),(0.025899| -0.053862| 0.093170| 0.980490),(-0.074504| 0.068064| 0.045153),(0.056482| -0.040551| 0.105717| 1.003448),(-0.091746| 0.076934| 0.064220),(0.310607| -0.015809| 0.293823| 0.953647),(-0.101229| 0.073973| 0.076200),(-0.442886| -0.000386| -0.387457| -0.862430),(-0.032427| 0.042585| 0.024581),(0.090502| -0.057820| 0.004685| 1.008860),(-0.058026| 0.069347| 0.059465),(0.168642| -0.040456| 0.043500| 1.007610),(-0.076017| 0.075002| 0.083436),(-0.448761| 0.052439| -0.257837| -0.888378),(-0.086336| 0.067172| 0.095223),(-0.583005| 0.052686| -0.374453| -0.655534),(-0.020198| 0.040021| 0.032681),(0.121838| -0.022326| -0.061112| 0.960283),(-0.037073| 0.065687| 0.067434),(0.156335| -0.009425| -0.050590| 0.940263),(-0.050418| 0.075741| 0.091913),(0.374754| -0.040914| 0.098123| 0.937473),(-0.060519| 0.074196| 0.106165),(-0.502948| 0.060431| -0.198243| -0.858694),(-0.009325| 0.032940| 0.040706),(0.153412| -0.024455| -0.170868| 0.991629),(-0.017442| 0.056102| 0.072763),(0.183054| 0.012737| -0.178911| 0.933417),(-0.023655| 0.064915| 0.092510),(0.409580| -0.052875| -0.039717| 0.955750),(-0.030635| 0.065193| 0.104381),(-0.454874| 0.075358| -0.029534| -0.830131),undefined
0,(3892.904020),(0.000474| 0.000195| -0.000736),(0.002444| 0.003149| 0.003927| 0.952213),(-0.034654| 0.003650| 0.001076),(0.480915| -0.685318| -0.329892| 0.536882),(-0.054967| 0.009767| 0.003258),(0.571972| -0.578247| -0.149181| 0.475470),(-0.086912| 0.019883| 0.013192),(0.559996| -0.471487| -0.324050| 0.565376),(-0.100442| 0.024999| 0.028305),(0.486392| -0.245705| -0.589508| 0.663895),(-0.044630| 0.039669| 0.016269),(0.026958| -0.054124| 0.092712| 0.980490),(-0.074744| 0.067328| 0.045890),(0.055667| -0.040932| 0.103839| 1.003675),(-0.091942| 0.076221| 0.065063),(0.305062| -0.015741| 0.286399| 0.957688),(-0.101401| 0.073457| 0.077116),(-0.435585| -0.000711| -0.377837| -0.870380),(-0.032614| 0.042234| 0.024952),(0.091004| -0.057097| 0.003783| 1.008860),(-0.058027| 0.068932| 0.060066),(0.162494| -0.037998| 0.035845| 1.009016),(-0.075763| 0.075281| 0.084291),(-0.432059| 0.048984| -0.238299| -0.902204),(-0.086209| 0.068377| 0.096674),(-0.560037| 0.049394| -0.347373| -0.689825),(-0.020311| 0.039731| 0.032958),(0.121609| -0.021009| -0.062036| 0.960283),(-0.037090| 0.065156| 0.067938),(0.154315| -0.006964| -0.053589| 0.940452),(-0.050213| 0.075269| 0.092573),(0.368811| -0.036789| 0.089331| 0.940873),(-0.060132| 0.073941| 0.106986),(-0.495602| 0.055542| -0.186304| -0.865937),(-0.009330| 0.032698| 0.040876),(0.152472| -0.022318| -0.172007| 0.991627),(-0.017395| 0.055629| 0.073110),(0.181728| 0.015854| -0.180705| 0.933282),(-0.023460| 0.064376| 0.092969),(0.405254| -0.047244| -0.047026| 0.957556),(-0.030265| 0.064701| 0.104943),(-0.450726| 0.069617| -0.021157| -0.833145),undefined
0,(5839.356031),(0.000363| 0.000574| -0.000582),(0.001754| 0.003782| 0.004531| 0.952209),(-0.034678| 0.003370| 0.001300),(0.484800| -0.679441| -0.336253| 0.536911),(-0.055007| 0.009400| 0.003562),(0.574225| -0.574976| -0.154972| 0.474868),(-0.087014| 0.019393| 0.013527),(0.560964| -0.470560| -0.327100| 0.563428),(-0.100664| 0.024495| 0.028566),(0.485999| -0.248290| -0.590666| 0.662189),(-0.044881| 0.039227| 0.016703),(0.028241| -0.054165| 0.092339| 0.980487),(-0.074990| 0.066634| 0.046566),(0.052683| -0.041686| 0.100621| 1.004132),(-0.092131| 0.075709| 0.065787),(0.296797| -0.015540| 0.277034| 0.963028),(-0.101579| 0.073261| 0.077926),(-0.425321| -0.001436| -0.365978| -0.880463),(-0.032824| 0.041882| 0.025302),(0.091600| -0.056196| 0.002893| 1.008859),(-0.058066| 0.068510| 0.060639),(0.156651| -0.035733| 0.028878| 1.010246),(-0.075551| 0.075441| 0.085081),(-0.418178| 0.045257| -0.221534| -0.913145),(-0.086019| 0.069270| 0.097919),(-0.542686| 0.045423| -0.325598| -0.714159),(-0.020432| 0.039465| 0.033196),(0.121329| -0.019577| -0.063033| 0.960283),(-0.037081| 0.064725| 0.068362),(0.150898| -0.004456| -0.057354| 0.940800),(-0.049945| 0.074988| 0.093126),(0.361933| -0.032173| 0.079896| 0.944554),(-0.059660| 0.073926| 0.107713),(-0.487209| 0.049781| -0.173468| -0.873683),(-0.009322| 0.032507| 0.040999),(0.151324| -0.020185| -0.173249| 0.991632),(-0.017306| 0.055251| 0.073384),(0.179652| 0.019139| -0.183043| 0.933167),(-0.023194| 0.063966| 0.093342),(0.400778| -0.041144| -0.054706| 0.959313),(-0.029808| 0.064347| 0.105424),(-0.446544| 0.063249| -0.012396| -0.836076),undefined
0,(7785.808041),(0.000357| 0.000696| -0.000534),(0.001189| 0.002577| 0.003262| 0.952219),(-0.034689| 0.003179| 0.001443),(0.487607| -0.675267| -0.340578| 0.536909),(-0.055023| 0.009187| 0.003721),(0.575179| -0.573568| -0.158588| 0.474222),(-0.087063| 0.019160| 0.013655),(0.561160| -0.470657| -0.329286| 0.561876),(-0.100791| 0.024287| 0.028629),(0.485321| -0.250499| -0.592080| 0.660590),(-0.045055| 0.038919| 0.016989),(0.029111| -0.054202| 0.092045| 0.980487),(-0.075148| 0.066232| 0.046962),(0.048383| -0.042575| 0.096840| 1.004683),(-0.092239| 0.075541| 0.066159),(0.289826| -0.015617| 0.269865| 0.967177),(-0.101687| 0.073346| 0.078351),(-0.417472| -0.001828| -0.357501| -0.887672),(-0.032972| 0.041646| 0.025530),(0.091996| -0.055576| 0.002253| 1.008859),(-0.058108| 0.068243| 0.061001),(0.152030| -0.034374| 0.023922| 1.011128),(-0.075427| 0.075515| 0.085547),(-0.410688| 0.043036| -0.212235| -0.918844),(-0.085861| 0.069662| 0.098581),(-0.536743| 0.043036| -0.316273| -0.722934),(-0.020520| 0.039289| 0.033346),(0.121117| -0.018592| -0.063740| 0.960283),(-0.037069| 0.064478| 0.068617),(0.147397| -0.002702| -0.060611| 0.941158),(-0.049734| 0.074920| 0.093444),(0.355935| -0.028922| 0.072759| 0.947511),(-0.059302| 0.074096| 0.108153),(-0.479859| 0.045667| -0.163811| -0.879818),(-0.009324| 0.032385| 0.041074),(0.150517| -0.018719| -0.174118| 0.991632),(-0.017244| 0.055024| 0.073546),(0.177367| 0.021487| -0.185110| 0.933146),(-0.022990| 0.063760| 0.093559),(0.396473| -0.036715| -0.060624| 0.960923),(-0.029459| 0.064217| 0.105718),(-0.442337| 0.058557| -0.005629| -0.838722),undefined
0,(0),(0.000366| 0.000808| -0.000471),(0.000376| 0.001353| 0.002044| 0.952226),(-0.034675| 0.003048| 0.001551),(0.489533| -0.672895| -0.342501| 0.536911),(-0.055006| 0.009061| 0.003835),(0.575591| -0.572904| -0.160486| 0.473885),(-0.087057| 0.019055| 0.013746),(0.561182| -0.470953| -0.330483| 0.560903),(-0.100827| 0.024218| 0.028680),(0.484976| -0.252257| -0.592958| 0.659386),(-0.045150| 0.038726| 0.017156),(0.029608| -0.054145| 0.091922| 0.980487),(-0.075233| 0.066063| 0.047124),(0.043965| -0.043329| 0.093385| 1.005181),(-0.092287| 0.075595| 0.066250),(0.285257| -0.015539| 0.265590| 0.969716),(-0.101739| 0.073556| 0.078466),(-0.413162| -0.002392| -0.353056| -0.891459),(-0.033055| 0.041506| 0.025663),(0.092243| -0.055178| 0.001952| 1.008859),(-0.058162| 0.068118| 0.061165),(0.148761| -0.034062| 0.021244| 1.011685),(-0.075424| 0.075543| 0.085713),(-0.408075| 0.042157| -0.209298| -0.920719),(-0.085833| 0.069743| 0.098781),(-0.536735| 0.041899| -0.314955| -0.723583),(-0.020570| 0.039194| 0.033440),(0.121016| -0.018017| -0.064095| 0.960283),(-0.037089| 0.064386| 0.068726),(0.144569| -0.002160| -0.062464| 0.941477),(-0.049675| 0.074974| 0.093547),(0.352103| -0.027396| 0.069305| 0.949245),(-0.059181| 0.074292| 0.108308),(-0.475401| 0.043513| -0.159216| -0.883184),(-0.009323| 0.032330| 0.041132),(0.150101| -0.017931| -0.174556| 0.991632),(-0.017256| 0.054936| 0.073626),(0.175792| 0.021855| -0.185558| 0.933346),(-0.022980| 0.063709| 0.093641),(0.393552| -0.034886| -0.062892| 0.962046),(-0.029393| 0.064227| 0.105828),(-0.439131| 0.056264| -0.002653| -0.840576),undefined
