System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.071883| -0.258976| 0.316990),(0.044695| -0.943937| -0.318353| -0.075083),(0.039205| -0.252602| 0.333285),(-0.115702| -0.355452| -0.371002| -0.850074),(0.025226| -0.246958| 0.347057),(-0.213430| -0.322268| -0.562349| -0.730996),(0.005277| -0.237363| 0.372801),(-0.325276| -0.407514| -0.502573| -0.689600),(-0.000080| -0.231701| 0.391914),(0.493322| 0.526652| 0.374862| 0.582023),(0.036870| -0.214437| 0.344852),(0.131195| -0.911091| -0.379727| -0.092239),(0.019802| -0.182697| 0.379969),(0.175584| -0.870925| -0.448664| -0.096746),(0.010189| -0.174981| 0.402229),(-0.193688| 0.645651| 0.738314| 0.022653),(0.006522| -0.179235| 0.415997),(-0.192672| 0.501700| 0.843178| -0.015018),(0.051711| -0.211516| 0.347670),(0.035178| -0.908668| -0.390248| -0.144192),(0.041863| -0.177993| 0.384615),(0.051891| -0.883176| -0.442945| -0.145285),(0.034179| -0.169691| 0.410102),(-0.109028| 0.581995| 0.799181| 0.103466),(0.029519| -0.177546| 0.424267),(-0.131183| 0.349352| 0.925199| 0.068921),(0.066558| -0.213738| 0.350436),(-0.048773| -0.907929| -0.388845| -0.148615),(0.064001| -0.184162| 0.385718),(-0.027414| -0.867800| -0.471123| -0.155614),(0.058923| -0.177897| 0.410761),(-0.043528| 0.556066| 0.816488| 0.149139),(0.053898| -0.185934| 0.424421),(-0.076948| 0.343915| 0.926386| 0.132708),(0.080107| -0.220482| 0.354334),(-0.141477| -0.902897| -0.355908| -0.195170),(0.085920| -0.193499| 0.383724),(-0.192439| -0.875580| -0.406176| -0.177053),(0.086565| -0.186337| 0.402424),(0.089458| 0.593132| 0.761432| 0.245791),(0.082056| -0.190788| 0.413682),(0.025219| 0.385163| 0.884901| 0.260698)
0.040000,(0.000086| -0.000118| 0.000092),(-0.000326| 0.000583| 0.001080| 0.999999),(-0.032661| 0.006323| 0.016325),(0.284880| -0.721901| -0.367685| 0.512357),(-0.046673| 0.011947| 0.030071),(0.478160| -0.572555| -0.405395| 0.528393),(-0.066682| 0.021521| 0.055776),(0.400960| -0.494479| -0.506167| 0.581823),(-0.072079| 0.027195| 0.074875),(-0.249876| 0.336692| 0.645665| -0.638215),(-0.035069| 0.044488| 0.027869),(0.062832| -0.043213| 0.082295| 0.993686),(-0.052158| 0.076239| 0.062971),(0.136904| -0.061259| 0.129300| 0.980197),(-0.061759| 0.084004| 0.085227),(-0.476751| 0.000511| -0.201234| -0.855695),(-0.065408| 0.079794| 0.099013),(-0.620323| -0.029571| -0.226476| -0.750356),(-0.020231| 0.047447| 0.030665),(0.082977| -0.061425| -0.023992| 0.994367),(-0.030114| 0.080960| 0.067608),(0.140079| -0.067206| -0.003419| 0.987851),(-0.037792| 0.089265| 0.093113),(-0.565171| 0.051642| -0.103266| -0.816855),(-0.042419| 0.081430| 0.107298),(-0.755230| 0.037471| -0.154840| -0.635805),(-0.005376| 0.045262| 0.033414),(0.088241| -0.039035| -0.104739| 0.989808),(-0.007961| 0.074859| 0.068677),(0.177369| -0.051641| -0.078853| 0.979620),(-0.013026| 0.081146| 0.093724),(-0.596785| 0.075013| -0.029439| -0.798345),(-0.018016| 0.073127| 0.107409),(-0.764759| 0.080732| -0.083666| -0.633740),(0.008194| 0.038551| 0.037300),(0.067705| -0.055434| -0.209280| 0.973933),(0.013973| 0.065574| 0.066661),(0.126625| -0.022003| -0.246499| 0.960584),(0.014623| 0.072771| 0.085358),(-0.546827| 0.123653| 0.132555| -0.817386),(0.010147| 0.068345| 0.096640),(-0.725487| 0.167707| 0.058468| -0.664924)
0.060000,(-0.000006| -0.000062| 0.000010),(-0.000464| 0.000108| 0.000637| 1.000000),(-0.032662| 0.006298| 0.016328),(0.285733| -0.721861| -0.367062| 0.512386),(-0.046682| 0.011921| 0.030067),(0.478767| -0.572452| -0.404822| 0.528393),(-0.066709| 0.021502| 0.055758),(0.401535| -0.494678| -0.505573| 0.581773),(-0.072125| 0.027194| 0.074848),(-0.250442| 0.337479| 0.645104| -0.638144),(-0.035118| 0.044469| 0.027836),(0.062901| -0.043033| 0.082352| 0.993685),(-0.052240| 0.076231| 0.062913),(0.136998| -0.060936| 0.129348| 0.980198),(-0.061849| 0.084015| 0.085166),(-0.476347| -0.000208| -0.201081| -0.855955),(-0.065496| 0.079829| 0.098961),(-0.619825| -0.030462| -0.226269| -0.750793),(-0.020283| 0.047451| 0.030625),(0.083045| -0.061318| -0.023923| 0.994370),(-0.030210| 0.080978| 0.067544),(0.140391| -0.067113| -0.003176| 0.987814),(-0.037903| 0.089300| 0.093050),(-0.564794| 0.050870| -0.103261| -0.817164),(-0.042521| 0.081488| 0.107251),(-0.754999| 0.036368| -0.154816| -0.636149),(-0.005424| 0.045289| 0.033374),(0.088261| -0.038997| -0.104692| 0.989813),(-0.008045| 0.074921| 0.068606),(0.177271| -0.051596| -0.078685| 0.979654),(-0.013121| 0.081232| 0.093646),(-0.596731| 0.074235| -0.029559| -0.798453),(-0.018099| 0.073224| 0.107343),(-0.764713| 0.079640| -0.083741| -0.633923),(0.008157| 0.038600| 0.037262),(0.067721| -0.055521| -0.209214| 0.973941),(0.013902| 0.065654| 0.066602),(0.126859| -0.022149| -0.246354| 0.960586),(0.014538| 0.072862| 0.085296),(-0.547157| 0.123105| 0.132381| -0.817276),(0.010067| 0.068434| 0.096580),(-0.725924| 0.166855| 0.058255| -0.664681)
0.080000,(-0.000013| -0.000063| 0.000007),(-0.000498| 0.000070| 0.000628| 1.000000),(-0.032675| 0.006281| 0.016320),(0.286559| -0.721873| -0.366493| 0.512315),(-0.046699| 0.011905| 0.030055),(0.479329| -0.572362| -0.404402| 0.528305),(-0.066736| 0.021496| 0.055736),(0.402075| -0.494862| -0.505138| 0.581621),(-0.072166| 0.027204| 0.074820),(-0.250998| 0.338207| 0.644696| -0.637953),(-0.035168| 0.044459| 0.027797),(0.063044| -0.042897| 0.082279| 0.993688),(-0.052321| 0.076230| 0.062851),(0.137219| -0.060676| 0.129308| 0.980188),(-0.061938| 0.084028| 0.085101),(-0.476136| -0.000841| -0.200907| -0.856113),(-0.065585| 0.079860| 0.098902),(-0.619476| -0.031251| -0.226063| -0.751111),(-0.020336| 0.047459| 0.030581),(0.083195| -0.061256| -0.023981| 0.994360),(-0.030301| 0.081000| 0.067476),(0.140719| -0.067070| -0.003073| 0.987770),(-0.038011| 0.089340| 0.092982),(-0.564540| 0.050208| -0.103215| -0.817386),(-0.042623| 0.081547| 0.107195),(-0.754844| 0.035401| -0.154790| -0.636394),(-0.005474| 0.045314| 0.033330),(0.088374| -0.039002| -0.104772| 0.989794),(-0.008128| 0.074977| 0.068535),(0.177269| -0.051595| -0.078644| 0.979657),(-0.013215| 0.081310| 0.093569),(-0.596789| 0.073573| -0.029630| -0.798469),(-0.018186| 0.073311| 0.107274),(-0.764776| 0.078691| -0.083817| -0.633957),(0.008114| 0.038643| 0.037222),(0.067839| -0.055646| -0.209273| 0.973913),(0.013829| 0.065723| 0.066544),(0.127207| -0.022320| -0.246350| 0.960538),(0.014452| 0.072937| 0.085237),(-0.547645| 0.122680| 0.132260| -0.817033),(0.009983| 0.068505| 0.096519),(-0.726500| 0.166162| 0.058040| -0.664244)
0.100000,(0.000029| -0.000032| 0.000006),(0.000020| -0.000226| 0.000232| 1.000000),(-0.032682| 0.006273| 0.016298),(0.287077| -0.721718| -0.366294| 0.512385),(-0.046718| 0.011897| 0.030020),(0.479699| -0.572283| -0.403995| 0.528365),(-0.066776| 0.021490| 0.055685),(0.402393| -0.494787| -0.504860| 0.581706),(-0.072215| 0.027204| 0.074765),(-0.251223| 0.338137| 0.644581| -0.638017),(-0.035202| 0.044451| 0.027768),(0.062953| -0.042840| 0.082398| 0.993686),(-0.052391| 0.076211| 0.062816),(0.137279| -0.060570| 0.129508| 0.980160),(-0.062025| 0.084002| 0.085065),(-0.475894| -0.001089| -0.201203| -0.856178),(-0.065677| 0.079838| 0.098868),(-0.619061| -0.031540| -0.226393| -0.751342),(-0.020372| 0.047462| 0.030558),(0.083161| -0.061192| -0.023854| 0.994370),(-0.030387| 0.081018| 0.067428),(0.140096| -0.067276| -0.002717| 0.987846),(-0.038132| 0.089385| 0.092917),(-0.563918| 0.050012| -0.103839| -0.817748),(-0.042753| 0.081609| 0.107137),(-0.754230| 0.034998| -0.155492| -0.636972),(-0.005510| 0.045327| 0.033314),(0.088363| -0.038938| -0.104643| 0.989811),(-0.008209| 0.075002| 0.068508),(0.176983| -0.051717| -0.078246| 0.979735),(-0.013327| 0.081329| 0.093526),(-0.597225| 0.073323| -0.030471| -0.798134),(-0.018303| 0.073303| 0.107213),(-0.765494| 0.078243| -0.084854| -0.633006),(0.008081| 0.038665| 0.037212),(0.067883| -0.055597| -0.209154| 0.973938),(0.013765| 0.065759| 0.066530),(0.127021| -0.022307| -0.246138| 0.960616),(0.014370| 0.072975| 0.085217),(-0.548072| 0.122497| 0.131668| -0.816869),(0.009888| 0.068519| 0.096481),(-0.727863| 0.166063| 0.056878| -0.662876)
0.120000,(-0.000014| -0.000158| 0.000150),(-0.001205| -0.000722| 0.000241| 0.999999),(-0.032719| 0.006258| 0.016274),(0.287982| -0.722387| -0.364241| 0.512398),(-0.046740| 0.011920| 0.029998),(0.479886| -0.572654| -0.402977| 0.528571),(-0.066778| 0.021580| 0.055658),(0.402715| -0.495500| -0.503903| 0.581707),(-0.072217| 0.027342| 0.074729),(-0.251913| 0.339566| 0.643809| -0.637766),(-0.035268| 0.044462| 0.027656),(0.062970| -0.042555| 0.082577| 0.993682),(-0.052525| 0.076284| 0.062615),(0.137424| -0.060253| 0.130028| 0.980090),(-0.062209| 0.084132| 0.084840),(-0.474756| -0.001560| -0.201875| -0.856651),(-0.065896| 0.080035| 0.098659),(-0.617164| -0.031983| -0.227121| -0.752663),(-0.020443| 0.047486| 0.030458),(0.083333| -0.061142| -0.023604| 0.994364),(-0.030558| 0.081169| 0.067194),(0.138561| -0.068009| -0.001803| 0.988014),(-0.038394| 0.089697| 0.092620),(-0.561473| 0.049880| -0.105346| -0.819245),(-0.043056| 0.082031| 0.106890),(-0.752074| 0.034373| -0.157332| -0.639101),(-0.005583| 0.045366| 0.033239),(0.088635| -0.039071| -0.104436| 0.989803),(-0.008376| 0.075160| 0.068333),(0.175837| -0.052533| -0.077185| 0.979982),(-0.013576| 0.081583| 0.093297),(-0.597149| 0.073165| -0.032679| -0.798117),(-0.018578| 0.073574| 0.106984),(-0.765883| 0.077560| -0.087519| -0.632257),(0.008007| 0.038718| 0.037171),(0.068306| -0.055982| -0.208937| 0.973933),(0.013610| 0.065901| 0.066429),(0.126912| -0.023550| -0.245015| 0.960888),(0.014138| 0.073170| 0.085086),(-0.549125| 0.122980| 0.129081| -0.816502),(0.009614| 0.068696| 0.096318),(-0.730377| 0.166319| 0.053050| -0.660358)
0.140000,(0.000043| -0.000007| 0.000054),(-0.001560| -0.001169| -0.001448| 0.999997),(-0.032732| 0.006347| 0.016237),(0.286799| -0.724327| -0.361250| 0.512441),(-0.046749| 0.012094| 0.029932),(0.478857| -0.574976| -0.400634| 0.528764),(-0.066780| 0.021893| 0.055546),(0.402087| -0.497884| -0.501907| 0.581831),(-0.072219| 0.027729| 0.074597),(-0.251956| 0.341889| 0.642538| -0.637789),(-0.035198| 0.044594| 0.027494),(0.062641| -0.042469| 0.082957| 0.993675),(-0.052444| 0.076652| 0.062258),(0.134289| -0.060418| 0.129916| 0.980529),(-0.062166| 0.084739| 0.084387),(-0.471579| -0.000434| -0.202450| -0.858270),(-0.065923| 0.080784| 0.098230),(-0.614456| -0.030505| -0.228075| -0.754649),(-0.020371| 0.047590| 0.030318),(0.083199| -0.061445| -0.023117| 0.994368),(-0.030464| 0.081569| 0.066807),(0.133512| -0.068848| -0.001868| 0.988651),(-0.038333| 0.090441| 0.092095),(-0.557727| 0.051448| -0.106652| -0.821535),(-0.043070| 0.082946| 0.106428),(-0.749546| 0.036156| -0.159349| -0.641468),(-0.005523| 0.045439| 0.033142),(0.088752| -0.039644| -0.104006| 0.989815),(-0.008332| 0.075389| 0.068110),(0.174652| -0.053676| -0.076205| 0.980208),(-0.013595| 0.081938| 0.093013),(-0.596888| 0.074884| -0.035137| -0.798049),(-0.018658| 0.073971| 0.106700),(-0.766063| 0.079401| -0.090600| -0.631375),(0.008041| 0.038767| 0.037126),(0.068620| -0.056825| -0.208503| 0.973955),(0.013598| 0.066018| 0.066333),(0.128488| -0.025703| -0.243312| 0.961057),(0.014030| 0.073314| 0.084980),(-0.550244| 0.125475| 0.125581| -0.815915),(0.009442| 0.068857| 0.096198),(-0.730598| 0.168645| 0.049101| -0.659829)
0.160000,(0.000114| 0.000014| 0.000127),(-0.003782| -0.001884| -0.002173| 0.999989),(-0.032765| 0.006518| 0.016165),(0.284987| -0.728294| -0.354678| 0.512420),(-0.046814| 0.012447| 0.029747),(0.477616| -0.580531| -0.394151| 0.528689),(-0.066914| 0.022558| 0.055185),(0.401662| -0.503982| -0.496292| 0.581691),(-0.072407| 0.028580| 0.074158),(-0.252530| 0.348152| 0.639043| -0.637686),(-0.035100| 0.044855| 0.027124),(0.062138| -0.042134| 0.083499| 0.993676),(-0.052361| 0.077477| 0.061384),(0.125243| -0.061679| 0.129854| 0.981656),(-0.062209| 0.086151| 0.083221),(-0.463637| 0.001609| -0.204022| -0.862214),(-0.066122| 0.082545| 0.097110),(-0.607398| -0.028168| -0.230357| -0.759743),(-0.020272| 0.047815| 0.029976),(0.083014| -0.062002| -0.022349| 0.994367),(-0.030308| 0.082521| 0.065824),(0.119803| -0.070809| -0.002654| 0.990266),(-0.038224| 0.092249| 0.090719),(-0.548720| 0.053931| -0.108901| -0.827127),(-0.043099| 0.085156| 0.105188),(-0.744470| 0.038505| -0.163301| -0.646231),(-0.005445| 0.045622| 0.032874),(0.088967| -0.040838| -0.103379| 0.989813),(-0.008247| 0.076104| 0.067418),(0.166166| -0.056001| -0.075221| 0.981629),(-0.013585| 0.083211| 0.092092),(-0.592694| 0.077507| -0.039246| -0.800729),(-0.018751| 0.075479| 0.105865),(-0.763496| 0.081832| -0.095894| -0.633389),(0.008073| 0.038917| 0.036967),(0.069154| -0.058723| -0.207819| 0.973951),(0.013624| 0.066517| 0.065867),(0.122825| -0.029394| -0.241352| 0.962185),(0.013985| 0.074141| 0.084341),(-0.548177| 0.129323| 0.119936| -0.817553),(0.009319| 0.069830| 0.095579),(-0.729152| 0.171889| 0.042099| -0.661075)
0.180000,(0.000101| 0.000055| -0.000005),(-0.004625| -0.001846| -0.002409| 0.999985),(-0.032815| 0.006735| 0.016064),(0.282725| -0.732948| -0.346843| 0.512400),(-0.046874| 0.012867| 0.029546),(0.475926| -0.586461| -0.387271| 0.528753),(-0.066988| 0.023326| 0.054832),(0.400482| -0.510271| -0.490644| 0.581813),(-0.072476| 0.029552| 0.073736),(-0.251940| 0.354312| 0.635790| -0.637779),(-0.034987| 0.045191| 0.026658),(0.061574| -0.041686| 0.084088| 0.993680),(-0.052271| 0.078318| 0.060432),(0.120089| -0.062776| 0.131355| 0.982031),(-0.062255| 0.087418| 0.082031),(0.458975| -0.003124| 0.206858| 0.864027),(-0.066302| 0.084070| 0.095946),(-0.603029| -0.026477| -0.233675| -0.762267),(-0.020157| 0.048112| 0.029535),(0.082744| -0.062640| -0.021493| 0.994368),(-0.030132| 0.083395| 0.064851),(0.112940| -0.072048| -0.002481| 0.990983),(-0.038083| 0.093657| 0.089471),(-0.545332| 0.055873| -0.111636| -0.828872),(-0.043059| 0.086790| 0.104002),(-0.743472| 0.040504| -0.167331| -0.646227),(-0.005351| 0.045873| 0.032511),(0.089100| -0.042260| -0.102693| 0.989813),(-0.008117| 0.076834| 0.066651),(0.161229| -0.057880| -0.074378| 0.982407),(-0.013501| 0.084412| 0.091152),(-0.589379| 0.080088| -0.042427| -0.802757),(-0.018762| 0.076920| 0.105017),(-0.761256| 0.084512| -0.100094| -0.635081),(0.008120| 0.039140| 0.036720),(0.069588| -0.061019| -0.207035| 0.973946),(0.013623| 0.067062| 0.065331),(0.120885| -0.034316| -0.238241| 0.963042),(0.013865| 0.074981| 0.083686),(-0.545513| 0.133416| 0.113872| -0.819542),(0.009130| 0.070869| 0.094974),(-0.725540| 0.174986| 0.035448| -0.664617)
0.200000,(0.000107| 0.000065| -0.000024),(-0.005034| -0.001951| -0.002590| 0.999982),(-0.032848| 0.007008| 0.015888),(0.280866| -0.737306| -0.338811| 0.512545),(-0.046913| 0.013322| 0.029283),(0.474667| -0.592028| -0.380226| 0.528794),(-0.067031| 0.024090| 0.054437),(0.399745| -0.516177| -0.484795| 0.582013),(-0.072506| 0.030500| 0.073281),(-0.251834| 0.360122| 0.632246| -0.638088),(-0.034871| 0.045573| 0.026150),(0.061875| -0.040886| 0.085104| 0.993608),(-0.052176| 0.079134| 0.059500),(0.116843| -0.063296| 0.133416| 0.982111),(-0.062281| 0.088587| 0.080897),(0.455982| -0.004072| 0.210068| 0.864833),(-0.066443| 0.085453| 0.094833),(-0.600125| -0.025322| -0.237256| -0.763491),(-0.020039| 0.048459| 0.029050),(0.083322| -0.062917| -0.020201| 0.994329),(-0.029959| 0.084227| 0.063914),(0.108661| -0.072722| -0.001665| 0.991414),(-0.037939| 0.094914| 0.088308),(-0.543773| 0.057332| -0.114711| -0.829376),(-0.043000| 0.088222| 0.102883),(-0.743633| 0.042146| -0.171462| -0.644853),(-0.005252| 0.046180| 0.032093),(0.090061| -0.043323| -0.101565| 0.989796),(-0.007982| 0.077556| 0.065881),(0.158179| -0.059239| -0.073117| 0.982916),(-0.013402| 0.085537| 0.090238),(-0.587182| 0.082253| -0.045721| -0.803966),(-0.018744| 0.078257| 0.104185),(-0.759761| 0.086885| -0.104247| -0.635882),(0.008177| 0.039422| 0.036405),(0.070819| -0.062961| -0.205805| 0.973994),(0.013635| 0.067626| 0.064764),(0.120500| -0.038695| -0.234820| 0.963765),(0.013766| 0.075800| 0.083022),(-0.543701| 0.137026| 0.107809| -0.820970),(0.008971| 0.071871| 0.094359),(-0.722509| 0.177712| 0.028957| -0.667503)
