System.Single,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion,UnityEngine.Vector3,UnityEngine.Quaternion
0.020000,(0.069753| -0.260594| 0.319788),(0.041351| -0.945234| -0.314301| -0.077699),(0.037096| -0.253881| 0.336020),(-0.113347| -0.355221| -0.366177| -0.852576),(0.023009| -0.248286| 0.349701),(-0.211071| -0.320228| -0.564306| -0.731070),(0.002971| -0.238771| 0.375374),(-0.326146| -0.408061| -0.503113| -0.688471),(-0.002268| -0.233171| 0.394507),(0.497382| 0.529427| 0.372381| 0.577625),(0.035045| -0.215633| 0.347303),(0.128242| -0.912989| -0.375575| -0.094601),(0.018032| -0.182981| 0.381693),(0.175055| -0.880797| -0.427668| -0.103206),(0.008313| -0.174718| 0.403413),(-0.196557| 0.641496| 0.741152| 0.023303),(0.004655| -0.179254| 0.417070),(-0.195515| 0.485183| 0.852093| -0.017573),(0.049904| -0.212796| 0.350119),(0.032455| -0.910129| -0.386020| -0.146971),(0.040254| -0.178882| 0.386770),(0.048944| -0.885164| -0.438368| -0.148066),(0.032603| -0.170652| 0.412058),(-0.109736| 0.572461| 0.805670| 0.105556),(0.027892| -0.178856| 0.426005),(-0.132726| 0.336446| 0.929623| 0.070632),(0.064721| -0.215133| 0.352957),(-0.051476| -0.909024| -0.384719| -0.151716),(0.062386| -0.185112| 0.387910),(-0.030937| -0.871676| -0.462681| -0.158590),(0.057344| -0.178573| 0.412757),(-0.043721| 0.554725| 0.816654| 0.153116),(0.052197| -0.186637| 0.426352),(-0.078575| 0.340200| 0.927068| 0.136511),(0.078216| -0.221945| 0.356933),(-0.144021| -0.903406| -0.351736| -0.198487),(0.083726| -0.195177| 0.386530),(-0.185635| -0.867081| -0.423343| -0.185720),(0.083658| -0.188733| 0.405402),(0.075393| 0.569679| 0.778666| 0.251916),(0.078701| -0.193816| 0.416173),(0.007746| 0.351898| 0.898042| 0.263874)
0.040000,(-0.000001| 0.000005| 0.000023),(0.000316| -0.000274| -0.000155| 1.000000),(-0.032663| 0.006712| 0.016221),(0.278509| -0.727383| -0.361655| 0.512399),(-0.046761| 0.012300| 0.029893),(0.479545| -0.576406| -0.398654| 0.528080),(-0.066821| 0.021801| 0.055554),(0.401407| -0.495630| -0.502387| 0.583807),(-0.072080| 0.027388| 0.074686),(-0.248584| 0.332925| 0.644573| -0.641789),(-0.034707| 0.044954| 0.027527),(0.061945| -0.043344| 0.082910| 0.993685),(-0.051729| 0.077592| 0.061926),(0.117873| -0.066601| 0.129828| 0.982250),(-0.061458| 0.085844| 0.083643),(-0.484671| 0.003581| -0.209824| -0.849150),(-0.065123| 0.081296| 0.097294),(-0.637001| -0.027755| -0.236863| -0.733046),(-0.019850| 0.047783| 0.030353),(0.082379| -0.062470| -0.023162| 0.994372),(-0.029504| 0.081704| 0.067001),(0.137625| -0.068525| -0.002957| 0.988107),(-0.037162| 0.089956| 0.092273),(-0.577039| 0.056754| -0.109710| -0.807322),(-0.041886| 0.081759| 0.106221),(-0.765096| 0.044274| -0.161906| -0.621655),(-0.005034| 0.045440| 0.033198),(0.088266| -0.040665| -0.104027| 0.989815),(-0.007377| 0.075456| 0.068159),(0.171851| -0.053347| -0.079189| 0.980485),(-0.012428| 0.081999| 0.092998),(-0.600328| 0.081827| -0.034021| -0.794829),(-0.017586| 0.073931| 0.106586),(-0.768836| 0.089260| -0.089769| -0.626790),(0.008456| 0.038620| 0.037178),(0.068033| -0.057515| -0.208556| 0.973945),(0.013970| 0.065388| 0.066778),(0.148843| -0.032075| -0.236966| 0.959513),(0.013911| 0.071850| 0.085640),(-0.572769| 0.137981| 0.113474| -0.800013),(0.008951| 0.066775| 0.096413),(-0.749381| 0.182638| 0.034940| -0.635492)
0.060000,(-0.000018| 0.000025| -0.000015),(-0.000056| -0.000132| 0.000047| 1.000000),(-0.032667| 0.006706| 0.016217),(0.278676| -0.727398| -0.361508| 0.512391),(-0.046770| 0.012292| 0.029886),(0.479731| -0.576382| -0.398475| 0.528072),(-0.066842| 0.021792| 0.055539),(0.401694| -0.495710| -0.502139| 0.583756),(-0.072116| 0.027381| 0.074668),(-0.249028| 0.333183| 0.644312| -0.641745),(-0.034717| 0.044950| 0.027519),(0.061935| -0.043336| 0.082926| 0.993685),(-0.051749| 0.077580| 0.061920),(0.118239| -0.066484| 0.129879| 0.982207),(-0.061478| 0.085814| 0.083642),(-0.485066| 0.003423| -0.209941| -0.848896),(-0.065142| 0.081255| 0.097291),(-0.637183| -0.027884| -0.236969| -0.732848),(-0.019860| 0.047781| 0.030349),(0.082399| -0.062471| -0.023138| 0.994371),(-0.029525| 0.081714| 0.066984),(0.137333| -0.068528| -0.002981| 0.988147),(-0.037189| 0.089978| 0.092246),(-0.577029| 0.056693| -0.109881| -0.807310),(-0.041916| 0.081780| 0.106193),(-0.765169| 0.044177| -0.162154| -0.621508),(-0.005045| 0.045439| 0.033198),(0.088306| -0.040673| -0.104004| 0.989814),(-0.007401| 0.075467| 0.068149),(0.171587| -0.053399| -0.079119| 0.980534),(-0.012461| 0.082022| 0.092980),(-0.600295| 0.081789| -0.034286| -0.794846),(-0.017623| 0.073954| 0.106566),(-0.768916| 0.089172| -0.090125| -0.626653),(0.008445| 0.038621| 0.037182),(0.068103| -0.057536| -0.208536| 0.973943),(0.013940| 0.065400| 0.066777),(0.148689| -0.032333| -0.236653| 0.959605),(0.013864| 0.071873| 0.085635),(-0.572761| 0.138017| 0.112933| -0.800089),(0.008898| 0.066798| 0.096406),(-0.749436| 0.182550| 0.034309| -0.635488)
0.080000,(-0.000023| 0.000032| -0.000024),(-0.000145| -0.000107| 0.000102| 1.000000),(-0.032673| 0.006698| 0.016214),(0.278897| -0.727436| -0.361261| 0.512391),(-0.046779| 0.012285| 0.029880),(0.479930| -0.576359| -0.398268| 0.528073),(-0.066860| 0.021786| 0.055528),(0.401982| -0.495818| -0.501861| 0.583704),(-0.072146| 0.027379| 0.074653),(-0.249459| 0.333521| 0.644025| -0.641690),(-0.034730| 0.044946| 0.027505),(0.061946| -0.043288| 0.082937| 0.993685),(-0.051772| 0.077570| 0.061907),(0.118716| -0.066295| 0.129931| 0.982156),(-0.061500| 0.085786| 0.083636),(-0.485523| 0.003153| -0.210010| -0.848619),(-0.065160| 0.081217| 0.097284),(-0.637408| -0.028136| -0.237008| -0.732631),(-0.019874| 0.047781| 0.030338),(0.082434| -0.062447| -0.023118| 0.994369),(-0.029551| 0.081728| 0.066959),(0.137191| -0.068494| -0.002984| 0.988169),(-0.037220| 0.089999| 0.092213),(-0.577121| 0.056534| -0.110029| -0.807236),(-0.041947| 0.081799| 0.106158),(-0.765366| 0.043954| -0.162375| -0.621222),(-0.005059| 0.045442| 0.033190),(0.088353| -0.040671| -0.103988| 0.989811),(-0.007429| 0.075486| 0.068129),(0.171398| -0.053435| -0.079043| 0.980571),(-0.012498| 0.082054| 0.092952),(-0.600306| 0.081672| -0.034528| -0.794840),(-0.017661| 0.073986| 0.106538),(-0.769032| 0.088979| -0.090447| -0.626492),(0.008431| 0.038628| 0.037179),(0.068174| -0.057566| -0.208520| 0.973939),(0.013903| 0.065420| 0.066768),(0.148725| -0.032674| -0.236259| 0.959685),(0.013804| 0.071902| 0.085622),(-0.572868| 0.138033| 0.112306| -0.800098),(0.008833| 0.066826| 0.096390),(-0.749588| 0.182394| 0.033593| -0.635392)
0.100000,(-0.000024| 0.000014| -0.000012),(-0.000420| -0.000329| -0.000453| 1.000000),(-0.032684| 0.006716| 0.016210),(0.278493| -0.727988| -0.360447| 0.512399),(-0.046777| 0.012339| 0.029876),(0.479252| -0.577076| -0.397887| 0.528191),(-0.066851| 0.021898| 0.055513),(0.401740| -0.496887| -0.501181| 0.583546),(-0.072162| 0.027524| 0.074627),(-0.249979| 0.335175| 0.643251| -0.641402),(-0.034715| 0.044973| 0.027468),(0.061847| -0.043276| 0.083040| 0.993683),(-0.051760| 0.077697| 0.061778),(0.116420| -0.066751| 0.129893| 0.982405),(-0.061539| 0.086107| 0.083452),(-0.480364| 0.004417| -0.209793| -0.851597),(-0.065277| 0.081728| 0.097143),(-0.631795| -0.026572| -0.236962| -0.737549),(-0.019859| 0.047799| 0.030306),(0.082389| -0.062543| -0.022985| 0.994370),(-0.029549| 0.081859| 0.066826),(0.134674| -0.069288| -0.002617| 0.988461),(-0.037264| 0.090347| 0.092036),(-0.572697| 0.057368| -0.110354| -0.810277),(-0.042037| 0.082316| 0.106062),(-0.761877| 0.044703| -0.163027| -0.625273),(-0.005048| 0.045451| 0.033171),(0.088380| -0.040840| -0.103869| 0.989814),(-0.007451| 0.075535| 0.068073),(0.171162| -0.054336| -0.078101| 0.980638),(-0.012574| 0.082157| 0.092884),(-0.599279| 0.082333| -0.035753| -0.795492),(-0.017763| 0.074136| 0.106490),(-0.767884| 0.089487| -0.091723| -0.627640),(0.008435| 0.038628| 0.037176),(0.068256| -0.057806| -0.208401| 0.973945),(0.013876| 0.065449| 0.066747),(0.148914| -0.033775| -0.235212| 0.959874),(0.013730| 0.071957| 0.085595),(-0.572644| 0.138825| 0.110741| -0.800339),(0.008738| 0.066893| 0.096358),(-0.749658| 0.183070| 0.031683| -0.635212)
0.120000,(0.000095| 0.000276| 0.000091),(-0.004566| -0.000869| -0.000490| 0.999989),(-0.032701| 0.006831| 0.016154),(0.278590| -0.731348| -0.353575| 0.512350),(-0.046821| 0.012606| 0.029726),(0.479266| -0.581620| -0.391502| 0.527967),(-0.066987| 0.022442| 0.055195),(0.402883| -0.503114| -0.494812| 0.582858),(-0.072418| 0.028264| 0.074222),(-0.252545| 0.343481| 0.638446| -0.640804),(-0.034703| 0.045170| 0.027093),(0.062039| -0.042543| 0.083549| 0.993660),(-0.051758| 0.078634| 0.060729),(0.100585| -0.067606| 0.127472| 0.984410),(-0.061658| 0.088062| 0.081962),(-0.462736| 0.006092| -0.208100| -0.861703),(-0.065614| 0.084387| 0.095795),(-0.615683| -0.024750| -0.236116| -0.751380),(-0.019851| 0.048022| 0.029923),(0.082740| -0.062757| -0.022269| 0.994344),(-0.029532| 0.082832| 0.065776),(0.120717| -0.070917| -0.003382| 0.990145),(-0.037287| 0.092236| 0.090608),(-0.562845| 0.057859| -0.111697| -0.816935),(-0.042143| 0.084623| 0.104797),(-0.758671| 0.044095| -0.166441| -0.628308),(-0.005048| 0.045685| 0.032835),(0.088886| -0.041770| -0.103330| 0.989787),(-0.007538| 0.076148| 0.067409),(0.168759| -0.056550| -0.075996| 0.981095),(-0.012779| 0.083086| 0.092080),(-0.598421| 0.083003| -0.039720| -0.795880),(-0.018019| 0.075196| 0.105734),(-0.767902| 0.089253| -0.096418| -0.626949),(0.008423| 0.038882| 0.036921),(0.068914| -0.059633| -0.207743| 0.973929),(0.013718| 0.065972| 0.066277),(0.149851| -0.038726| -0.231293| 0.960494),(0.013392| 0.072672| 0.085060),(-0.572634| 0.141079| 0.104487| -0.800793),(0.008355| 0.067733| 0.095874),(-0.746947| 0.183125| 0.026018| -0.638638)
0.140000,(0.000170| 0.000168| 0.000088),(-0.006492| -0.002115| -0.002363| 0.999974),(-0.032752| 0.007051| 0.016064),(0.276615| -0.737156| -0.342812| 0.512411),(-0.046873| 0.013104| 0.029514),(0.477161| -0.589126| -0.382439| 0.528194),(-0.067048| 0.023421| 0.054785),(0.401523| -0.511610| -0.487087| 0.582907),(-0.072486| 0.029542| 0.073711),(-0.252112| 0.352715| 0.633717| -0.640652),(-0.034609| 0.045544| 0.026498),(0.061454| -0.041703| 0.084428| 0.993658),(-0.051644| 0.079743| 0.059413),(0.091239| -0.067553| 0.127303| 0.985346),(-0.061629| 0.089874| 0.080268),(-0.454395| 0.006774| -0.209414| -0.865809),(-0.065737| 0.086637| 0.094161),(-0.608331| -0.023749| -0.238087| -0.756759),(-0.019756| 0.048372| 0.029342),(0.082501| -0.063390| -0.021029| 0.994351),(-0.029343| 0.084189| 0.064245),(0.103378| -0.072757| -0.004453| 0.991968),(-0.037117| 0.094819| 0.088552),(-0.548448| 0.059973| -0.113406| -0.826285),(-0.042132| 0.087861| 0.102982),(-0.751277| 0.045755| -0.170683| -0.635890),(-0.004975| 0.046009| 0.032346),(0.089083| -0.043489| -0.102330| 0.989799),(-0.007483| 0.077108| 0.066369),(0.162753| -0.059286| -0.074042| 0.982097),(-0.012817| 0.084711| 0.090831),(-0.592220| 0.085334| -0.043967| -0.800038),(-0.018159| 0.077199| 0.104642),(-0.764173| 0.091232| -0.102166| -0.630300),(0.008441| 0.039188| 0.036587),(0.069463| -0.062619| -0.206586| 0.973949),(0.013825| 0.066873| 0.065403),(0.139374| -0.041967| -0.230880| 0.962033),(0.013619| 0.074278| 0.083958),(-0.559975| 0.142835| 0.102860| -0.809596),(0.008632| 0.069840| 0.095005),(-0.736241| 0.184419| 0.023516| -0.650681)
0.160000,(0.000040| 0.000169| -0.000203),(-0.006170| -0.002685| -0.003468| 0.999971),(-0.032836| 0.007368| 0.015885),(0.273194| -0.743313| -0.332070| 0.512427),(-0.046928| 0.013745| 0.029216),(0.473289| -0.597349| -0.373845| 0.528594),(-0.067033| 0.024609| 0.054308),(0.398063| -0.519989| -0.480536| 0.583303),(-0.072387| 0.031039| 0.073150),(-0.249262| 0.360509| 0.630549| -0.640555),(-0.034445| 0.046028| 0.025817),(0.060527| -0.041099| 0.085254| 0.993670),(-0.051456| 0.080781| 0.058154),(0.088464| -0.067591| 0.129351| 0.985329),(-0.061575| 0.091417| 0.078767),(0.445966| -0.008906| 0.211834| 0.869576),(-0.065882| 0.088646| 0.092708),(-0.597726| -0.020539| -0.240829| -0.764398),(-0.019588| 0.048790| 0.028708),(0.081987| -0.064252| -0.019808| 0.994363),(-0.029059| 0.085471| 0.062742),(0.089916| -0.074704| -0.004664| 0.993133),(-0.036871| 0.097193| 0.086577),(-0.533555| 0.063279| -0.115410| -0.835462),(-0.042084| 0.090951| 0.101251),(-0.740172| 0.049402| -0.174598| -0.647473),(-0.004840| 0.046368| 0.031820),(0.089144| -0.045419| -0.101314| 0.989811),(-0.007360| 0.078002| 0.065354),(0.159486| -0.062570| -0.071330| 0.982630),(-0.012834| 0.086106| 0.089626),(-0.588485| 0.089070| -0.049588| -0.802056),(-0.018316| 0.078881| 0.103525),(-0.761844| 0.094892| -0.109283| -0.631384),(0.008503| 0.039504| 0.036227),(0.069953| -0.065717| -0.205429| 0.973954),(0.013933| 0.067661| 0.064597),(0.133697| -0.046547| -0.228871| 0.963108),(0.013709| 0.075545| 0.082957),(-0.553867| 0.147313| 0.097568| -0.813640),(0.008669| 0.071429| 0.094105),(-0.730458| 0.188450| 0.016991| -0.656223)
0.180000,(0.000047| 0.000147| -0.000140),(-0.005244| -0.002193| -0.002788| 0.999980),(-0.032860| 0.007693| 0.015618),(0.271622| -0.747251| -0.323930| 0.512745),(-0.046936| 0.014259| 0.028879),(0.471633| -0.602717| -0.367021| 0.528763),(-0.067004| 0.025443| 0.053865),(0.396891| -0.525586| -0.475002| 0.583619),(-0.072313| 0.032055| 0.072655),(-0.248795| 0.365945| 0.627292| -0.640852),(-0.034327| 0.046451| 0.025254),(0.061485| -0.040001| 0.086633| 0.993536),(-0.051324| 0.081543| 0.057241),(0.087859| -0.066825| 0.131376| 0.985168),(-0.061520| 0.092490| 0.077703),(0.442094| -0.009511| 0.214164| 0.870975),(-0.065944| 0.089995| 0.091674),(-0.592527| -0.019206| -0.243332| -0.767680),(-0.019469| 0.049177| 0.028170),(0.083228| -0.064201| -0.018134| 0.994295),(-0.028872| 0.086376| 0.061687),(0.083266| -0.075228| -0.003882| 0.993676),(-0.036707| 0.098749| 0.085242),(-0.525885| 0.064762| -0.117672| -0.839883),(-0.042033| 0.092928| 0.100059),(-0.734569| 0.051236| -0.177994| -0.652765),(-0.004738| 0.046721| 0.031346),(0.090773| -0.046140| -0.099782| 0.989785),(-0.007267| 0.078676| 0.064589),(0.158972| -0.064063| -0.068753| 0.982801),(-0.012821| 0.087083| 0.088748),(-0.587322| 0.091020| -0.054032| -0.802402),(-0.018385| 0.080029| 0.102701),(-0.761240| 0.096931| -0.114591| -0.630862),(0.008562| 0.039834| 0.035851),(0.071851| -0.067294| -0.203794| 0.974052),(0.014020| 0.068273| 0.063954),(0.131796| -0.049023| -0.226765| 0.963745),(0.013789| 0.076449| 0.082198),(-0.551217| 0.149831| 0.093298| -0.815479),(0.008722| 0.072530| 0.093410),(-0.727702| 0.190787| 0.011969| -0.658716)
0.200000,(0.000188| 0.000340| -0.000868),(-0.005607| -0.005102| -0.005437| 0.999957),(-0.033038| 0.008009| 0.015418),(0.265864| -0.754399| -0.312073| 0.512650),(-0.047099| 0.014939| 0.028513),(0.466664| -0.611840| -0.357177| 0.529435),(-0.067085| 0.026719| 0.053276),(0.392237| -0.533612| -0.468525| 0.584716),(-0.072246| 0.033624| 0.071986),(-0.244778| 0.371288| 0.625311| -0.641261),(-0.034091| 0.046946| 0.024510),(0.058988| -0.039937| 0.087283| 0.993633),(-0.051125| 0.082663| 0.055763),(0.082967| -0.068822| 0.135199| 0.984937),(-0.061638| 0.094295| 0.075849),(0.424305| -0.015499| 0.219081| 0.878481),(-0.066448| 0.092545| 0.089820),(-0.571370| -0.011569| -0.249458| -0.781776),(-0.019237| 0.049544| 0.027553),(0.081547| -0.065680| -0.016942| 0.994359),(-0.028505| 0.087574| 0.060150),(0.070777| -0.077390| -0.003956| 0.994478),(-0.036418| 0.101084| 0.083185),(-0.506297| 0.070309| -0.120634| -0.850981),(-0.042047| 0.096178| 0.098224),(-0.716978| 0.058328| -0.183581| -0.669954),(-0.004570| 0.046961| 0.030921),(0.090157| -0.048718| -0.098720| 0.989825),(-0.007104| 0.079484| 0.063619),(0.154492| -0.067893| -0.066021| 0.983445),(-0.012847| 0.088528| 0.087558),(-0.578955| 0.097100| -0.060917| -0.807262),(-0.018648| 0.081928| 0.101633),(-0.754238| 0.103832| -0.123854| -0.636399),(0.008595| 0.039973| 0.035673),(0.072101| -0.070941| -0.202651| 0.974013),(0.014145| 0.068930| 0.063254),(0.122509| -0.053634| -0.225311| 0.965065),(0.013936| 0.077749| 0.081230),(-0.538868| 0.155567| 0.087564| -0.823258),(0.008797| 0.074333| 0.092575),(-0.716292| 0.196986| 0.004118| -0.669406)
